pair,dataset,split,component,identity,N,mean,min,p05,median,p95,max,sum
small,arc,fit,diagnostic_mass_ms,new,671,0.27616504731070357,0.2373389434069395,0.24742749519646168,0.26182387955486774,0.3505825297906995,0.5258340388536453,185.3067467454821
small,arc,cal,tokenization_prefix_ms,new,448,1.0381277669304316,0.662763137370348,0.7058940245769918,0.9917389834299684,1.4959914376959205,2.1012600045651197,465.0812395848334
small,arc,cal,prepare_transfer_ms,new,448,0.1438460785720963,0.10127108544111252,0.10704646119847894,0.1306419726461172,0.2250612014904618,0.4439090844243765,64.44304320029914
small,arc,cal,prefill_projection_ms,new,448,32.88137832818653,28.68434484116733,29.87804327858612,31.157406396232545,39.14873272879049,66.99196225963533,14730.857491027564
small,arc,cal,label_distribution_ms,new,448,0.5963080989853812,0.4779829178005457,0.5002553574740887,0.5876104114577174,0.7586144958622751,1.3671640772372484,267.14602834545076
small,arc,cal,probe_core_ms,new,448,34.65966027267444,30.03163984976709,31.24584142351523,32.953375251963735,41.555612743832164,69.12731728516519,15527.527802158147
small,arc,cal,ProbeMax_score_ms,new,448,0.08337846676503043,0.06828899495303631,0.07045642705634236,0.08194951806217432,0.10461731581017374,0.19580009393393993,37.35355311073363
small,arc,cal,GPU_prefill_projection_event_ms,new,448,32.743497154542375,28.58905601501465,29.781350994110106,31.03385639190674,38.89705047607421,66.81292724609375,14669.086725234985
small,arc,cal,diagnostic_mass_ms,new,448,0.27546392032361056,0.23977295495569706,0.24768502917140722,0.26243540924042463,0.33178348094224924,0.4820509348064661,123.40783630497754
small,arc,dev,tokenization_prefix_ms,new,299,0.9419581670638012,0.620041973888874,0.6803928874433041,0.8989998605102301,1.3259410625323653,1.768594142049551,281.64549195207655
small,arc,dev,prepare_transfer_ms,new,299,0.12929529344108592,0.10055000893771648,0.10286492761224508,0.11576898396015167,0.19571613520383813,0.36765518598258495,38.65929273888469
small,arc,dev,prefill_projection_ms,new,299,31.146481769458457,28.990889200940728,29.482688172720373,30.579923884943128,34.84218593221158,47.19155072234571,9312.798049068078
small,arc,dev,label_distribution_ms,new,299,0.5467217688115444,0.4025909584015608,0.4794701701030135,0.5216768477112055,0.6646590074524283,0.8542451541870832,163.4698088746518
small,arc,dev,probe_core_ms,new,299,32.76445699877489,30.23970010690391,30.796764185652137,32.10895415395498,36.715300707146525,49.18698174878955,9796.572642633691
small,arc,dev,ProbeMax_score_ms,new,299,0.07926789112389088,0.06596487946808338,0.06772610358893871,0.07562292739748955,0.09601197671145201,0.26419898495078087,23.701099446043372
