setting,q,threshold,n,k,p,accepted
large/MMLU-Pro/Text,0.75,0.12471663951873779,3352,671,1.0,False
large/MMLU-Pro/Text,0.8,0.18281084299087524,3570,761,1.0,False
large/MMLU-Pro/Text,0.85,0.26894986629486084,3820,871,1.0,False
large/MMLU-Pro/Text,0.9,0.36395102739334106,4079,1006,1.0,False
large/MMLU-Pro/Text,0.95,0.4745153784751892,4334,1144,1.0,False
large/MMLU-Pro/Text,1.0,Infinity,4558,1281,1.0,False
large/MMLU-Pro/C2C,0.05,3.5762786865234375e-07,215,10,0.4877024814531593,False
large/MMLU-Pro/C2C,0.1,1.7881393432617188e-06,445,17,0.14980791484666162,False
large/MMLU-Pro/C2C,0.15,7.987022399902344e-06,668,36,0.7152693884659684,False
large/MMLU-Pro/C2C,0.2,2.753734588623047e-05,852,59,0.9943819340808409,False
large/MMLU-Pro/C2C,0.25,9.083747863769531e-05,1076,92,0.9999996338299101,False
large/MMLU-Pro/C2C,0.3,0.00026172399520874023,1288,123,0.9999999999933061,False
large/MMLU-Pro/C2C,0.35,0.0009109377861022949,1537,189,1.0,False
large/MMLU-Pro/C2C,0.4,0.002053201198577881,1780,255,1.0,False
large/MMLU-Pro/C2C,0.45,0.004699349403381348,2028,339,1.0,False
large/MMLU-Pro/C2C,0.5,0.00924915075302124,2251,431,1.0,False
large/MMLU-Pro/C2C,0.55,0.01811206340789795,2481,522,1.0,False
large/MMLU-Pro/C2C,0.6,0.031062960624694824,2689,616,1.0,False
large/MMLU-Pro/C2C,0.65,0.05361706018447876,2909,724,1.0,False
large/MMLU-Pro/C2C,0.7,0.08482193946838379,3133,844,1.0,False
large/MMLU-Pro/C2C,0.75,0.12471663951873779,3352,968,1.0,False
large/MMLU-Pro/C2C,0.8,0.18281084299087524,3570,1086,1.0,False
large/MMLU-Pro/C2C,0.85,0.26894986629486084,3820,1245,1.0,False
large/MMLU-Pro/C2C,0.9,0.36395102739334106,4079,1414,1.0,False
large/MMLU-Pro/C2C,0.95,0.4745153784751892,4334,1581,1.0,False
large/MMLU-Pro/C2C,1.0,Infinity,4558,1739,1.0,False
medium/OBQA/C2C,0.05,2.384185791015625e-07,64,3,0.601409264851612,False
medium/OBQA/C2C,0.1,3.5762786865234375e-07,86,5,0.7397253742374479,False
medium/OBQA/C2C,0.15,8.940696716308594e-07,124,10,0.9530813252607224,False
medium/OBQA/C2C,0.2,2.0265579223632812e-06,159,17,0.9989245885547191,False
medium/OBQA/C2C,0.25,4.76837158203125e-06,189,24,0.9999901916170795,False
medium/OBQA/C2C,0.3,1.1444091796875e-05,220,31,0.9999999309568869,False
medium/OBQA/C2C,0.35,2.9325485229492188e-05,272,41,0.9999999998931624,False
medium/OBQA/C2C,0.4,8.499622344970703e-05,311,48,0.9999999999984932,False
medium/OBQA/C2C,0.45,0.0002611875534057617,358,65,1.0,False
medium/OBQA/C2C,0.5,0.0005558133125305176,384,71,1.0,False
medium/OBQA/C2C,0.55,0.0015012025833129883,421,83,1.0,False
medium/OBQA/C2C,0.6,0.0033301115036010742,465,95,1.0,False
medium/OBQA/C2C,0.65,0.008638560771942139,500,112,1.0,False
medium/OBQA/C2C,0.7,0.018842458724975586,541,129,1.0,False
medium/OBQA/C2C,0.75,0.03230196237564087,572,147,1.0,False
medium/OBQA/C2C,0.8,0.07585841417312622,609,161,1.0,False
medium/OBQA/C2C,0.85,0.1331866979598999,652,180,1.0,False
medium/OBQA/C2C,0.9,0.22296816110610962,690,200,1.0,False
medium/OBQA/C2C,0.95,0.3775496482849121,730,212,1.0,False
medium/OBQA/C2C,1.0,Infinity,765,235,1.0,False
medium/ARC/C2C,0.05,2.384185791015625e-07,24,0,0.2919890243387728,False
medium/ARC/C2C,0.1,3.5762786865234375e-07,34,0,0.17482461472379734,False
medium/ARC/C2C,0.15,1.0728836059570312e-06,49,4,0.902967253571293,False
medium/ARC/C2C,0.2,3.0994415283203125e-06,65,7,0.9844774433080784,False
