setting,split,N,disagreements,d,CP_lo,CP_hi,R_INVALID,ref_INVALID,median_u,share_u0,note,label,test_all_N,test_all_median_u,test_all_share_u0,test_all_ref_INVALID
large/ARC/Text,fit,670,32,0.04776119402985075,0.03289462918051708,0.06675838072029076,0,0,0.0,0.7373134328358208,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
large/ARC/Text,cal,448,12,0.026785714285714284,0.013915500684944338,0.04632147921408408,0,0,0.0,0.7165178571428571,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
large/ARC/Text,dev,299,15,0.05016722408026756,0.02834660005634373,0.0813941844080327,0,0,0.0,0.725752508361204,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
large/ARC/Text,test (sealed; R run only on omitted questions),1100,20,0.01818181818181818,0.011140405943165652,0.027941229300566528,0,0,0.0,0.7609090909090909,N = omitted questions of the sealed Text policy (u <= frozen tau); R was not executed on the other 72,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",1172,0.0,0.7141638225255973,0
large/ARC/C2C,fit,670,31,0.04626865671641791,0.03165051519075802,0.06503445578221279,0,2,0.0,0.7373134328358208,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
large/ARC/C2C,cal,448,21,0.046875,0.029247127430963114,0.0707631197977109,0,1,0.0,0.7165178571428571,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
large/ARC/C2C,dev,299,12,0.04013377926421405,0.02090683674265958,0.06905568750433605,0,0,0.0,0.725752508361204,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
large/ARC/C2C,test (sealed; R run only on omitted questions),1047,11,0.010506208213944603,0.005256001612825276,0.018720593168345675,0,0,0.0,0.7994269340974212,N = omitted questions of the sealed C2C policy (u <= frozen tau); R was not executed on the other 125,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",1172,0.0,0.7141638225255973,1
X1-Llama/ARC/Text,fit,670,210,0.31343283582089554,0.278448629176055,0.3500702507369415,59,29,0.03001934289932251,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
X1-Llama/ARC/Text,cal,448,160,0.35714285714285715,0.3127283806361311,0.4034577525475135,50,26,0.037721335887908936,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
X1-Llama/ARC/Text,dev,299,88,0.29431438127090304,0.24325262998769898,0.3495058182840347,32,14,0.04313474893569946,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
X1-Llama/ARC/C2C,fit,670,403,0.6014925373134329,0.5632939668126993,0.6387930236422708,59,36,0.03001934289932251,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
X1-Llama/ARC/C2C,cal,448,273,0.609375,0.5624791325797684,0.654816673466041,50,25,0.037721335887908936,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
X1-Llama/ARC/C2C,dev,299,174,0.5819397993311036,0.523778343123607,0.6384610346447585,32,17,0.04313474893569946,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
X2-OLMo/ARC/Text,fit,670,147,0.21940298507462686,0.18861366138660826,0.25268674431785426,80,57,0.019437402486801147,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
X2-OLMo/ARC/Text,cal,448,95,0.21205357142857142,0.1750940114396897,0.25286421252442587,41,36,0.026973217725753784,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
X2-OLMo/ARC/Text,dev,299,67,0.22408026755852842,0.1780872990616258,0.27563329547279414,36,19,0.029457688331604004,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
X3-Llama8B/ARC/Text,fit,670,58,0.08656716417910448,0.06638891604751732,0.11047178484767706,0,0,0.0014963746070861816,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
X3-Llama8B/ARC/Text,cal,448,40,0.08928571428571429,0.0645531311859817,0.11959659582462102,0,0,0.001734316349029541,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
X3-Llama8B/ARC/Text,dev,299,37,0.12374581939799331,0.08864495308663223,0.16651406692785678,0,0,0.0021999478340148926,0.0,,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,
