setting,parser,q,n,k,p,accepted,label
small/ARC/Text,OFFICIAL,0.9,392,160,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.95,422,179,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,1.0,448,197,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.05,18,4,0.998454,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.1,33,5,0.994613,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.15,50,9,0.999841,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.2,78,23,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.25,108,33,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.3,128,43,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.35,140,49,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.4,163,63,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.45,182,72,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.5,206,83,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.55,234,96,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.6,263,115,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.65,289,134,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.7,315,151,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.75,341,165,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.8,362,176,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.85,378,190,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.9,392,195,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,0.95,422,214,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,D1,1.0,448,233,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.05,18,0,0.397214,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.1,33,1,0.50365,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.15,50,5,0.962224,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.2,78,12,0.999874,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.25,108,28,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.3,128,40,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.35,140,46,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.4,163,55,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.45,182,63,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.5,206,79,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.55,234,96,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.6,263,114,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.65,289,129,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.7,315,147,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.75,341,169,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.8,362,185,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.85,378,200,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.9,392,209,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,0.95,422,230,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,OFFICIAL,1.0,448,249,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.05,18,1,0.773523,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.1,33,2,0.772807,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.15,50,7,0.996812,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.2,78,15,0.999999,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.25,108,32,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.3,128,44,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.35,140,51,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.4,163,60,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.45,182,68,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.5,206,84,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.55,234,101,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.6,263,119,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.65,289,134,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.7,315,152,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.75,341,174,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.8,362,190,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.85,378,205,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.9,392,214,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,0.95,422,235,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,D1,1.0,448,254,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.05,601,37,0.914936,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.1,601,37,0.914936,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.15,601,37,0.914936,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.2,601,37,0.914936,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.25,601,37,0.914936,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.3,601,37,0.914936,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.35,601,37,0.914936,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.4,601,37,0.914936,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.45,601,37,0.914936,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.5,665,51,0.99882,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.55,739,67,0.999998,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.6,800,90,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.65,880,106,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.7,959,139,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.75,1019,162,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.8,1089,191,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.85,1155,224,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.9,1219,262,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,0.95,1293,304,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,OFFICIAL,1.0,1366,347,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.05,601,36,0.884295,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.1,601,36,0.884295,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.15,601,36,0.884295,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.2,601,36,0.884295,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.25,601,36,0.884295,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.3,601,36,0.884295,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.35,601,36,0.884295,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.4,601,36,0.884295,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
