replay,machine,pair,task,reference,arm,version,N,n_omitted,n_routed,b_excluded_ids,all_n,all_pol_p50,all_pol_p90,all_pol_p99,all_fix_p50,all_fix_p90,all_fix_p99,all_d_p10,all_d_p50,all_d_p90,all_frac_slower,all_mean_saving,om_n,om_pol_p50,om_pol_p90,om_pol_p99,om_fix_p50,om_fix_p90,om_fix_p99,om_d_p10,om_d_p50,om_d_p90,om_frac_slower,om_mean_saving,rt_n,rt_pol_p50,rt_pol_p90,rt_pol_p99,rt_fix_p50,rt_fix_p90,rt_fix_p99,rt_d_p10,rt_d_p50,rt_d_p90,rt_frac_slower,rt_mean_saving,pol_p90_worse,pol_p99_worse,source
E3_REPEAT1,ClusterA,large,ARC,Text,POLICY,a,128,120,8,,128,258.5442370036617,262.3997228918597,1038.3302750717853,847.5088916020468,1024.758038436994,1277.2161527350552,397.54809194710106,592.1702994965017,770.0228406116366,0.0546875,573.5230015616253,120,245.0679544126615,260.5650015641004,265.05402395967394,846.1114520905539,1014.1993116354571,1287.388481292874,450.49141459167004,598.0803098063916,772.1063749399037,0.0,613.3448453794699,8,932.7482384396717,1101.734224637039,1176.983832467813,921.810410101898,1070.023200334981,1152.021145108156,-36.74243106506765,-31.377448816783726,-7.044648472219716,0.875,-23.804655706044286,False,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/large/records/e2e_requests.jsonl
E3_REPEAT1,ClusterA,large,ARC,Text,POLICY,b,127,119,8,Mercury_7207358,127,258.66031600162387,262.5446811784059,1039.3514159228648,847.782202064991,1025.1233522314578,1278.8063462264827,395.8637092728168,590.4961989726871,770.0998405460268,0.05511811023622047,573.1521748486672,119,257.7933019492775,260.56783027015626,265.06314653903246,844.9873230420053,1015.2507322374731,1289.112844225018,449.9566512182355,596.3397356681526,773.6509097274393,0.0,613.2837264825973,8,932.7482384396717,1101.734224637039,1176.983832467813,921.810410101898,1070.023200334981,1152.021145108156,-36.74243106506765,-31.377448816783726,-7.044648472219716,0.875,-23.804655706044286,False,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/large/records/e2e_requests.jsonl
E3_REPEAT1,ClusterA,large,ARC,C2C,POLICY,a,128,115,13,,128,258.804140612483,263.9223393984139,408.69934000074863,325.72680653538555,509.9072091979906,682.9935520002621,-48.105730512179434,47.42375249043107,271.87069442588836,0.3671875,91.38224307025666,115,258.3583570085466,260.9266917221248,267.6820552768186,339.5765780005604,510.6922264676541,690.5819024052471,-48.18870066665113,79.46465304121375,277.0383998285979,0.3130434782608696,104.07860347110292,13,338.64234387874603,408.96335430443287,607.5866376236079,311.39697995968163,383.6660116445273,578.0569482129065,-32.62498490512371,-30.078218085691333,20.110211102291977,0.8461538461538461,-20.931714321844854,False,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/large/records/e2e_requests.jsonl
E3_REPEAT1,ClusterA,large,ARC,C2C,POLICY,b,127,114,13,Mercury_7207358,127,258.82006622850895,263.95873450674117,408.7370563298464,337.8544580191374,510.16888162121177,683.5772712621834,-48.107487708330154,47.504163114354014,272.6072402205319,0.36220472440944884,92.39784231424098,114,258.45299498178065,260.93030550982803,267.69402253674343,342.4556724494323,510.9538988908753,691.1656216671693,-48.200478963553905,82.2491419967264,277.0403806352988,0.30701754385964913,105.3213882464262,13,338.64234387874603,408.96335430443287,607.5866376236079,311.39697995968163,383.6660116445273,578.0569482129065,-32.62498490512371,-30.078218085691333,20.110211102291977,0.8461538461538461,-20.931714321844854,False,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/large/records/e2e_requests.jsonl
E3_REPEAT1,ClusterA,medium,OBQA,C2C,POLICY,a,128,66,62,,128,274.06546543352306,362.9545892821625,455.57108944049116,307.19688849058,360.42221838142723,508.7758787884377,-26.625519525259733,59.743345249444246,165.34840320236975,0.46875,49.88400625370559,66,198.22557806037366,225.4467464517802,296.2719615432431,307.70400865003467,356.92159296013415,507.8984177787788,61.56569404993206,100.98776791710407,184.85346564557403,0.0,114.21907835668235,62,317.49469391070306,388.6455482104793,478.2450395519845,278.7069050827995,379.37431421596557,568.5334354778753,-27.150568854995072,-25.840454502031207,-24.724592827260494,0.967741935483871,-18.60171566236644,True,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/medium/records/e2e_requests.jsonl
E3_REPEAT1,ClusterA,medium,OBQA,C2C,POLICY,b,127,66,61,9-782,127,269.19810893014073,362.9906233865768,455.7904057903214,306.7948098760098,358.6335854139179,499.8013250017537,-26.63416573777795,58.61195921897888,158.55139470659196,0.47244094488188976,47.283189671891414,66,198.22557806037366,225.4467464517802,296.2719615432431,307.70400865003467,356.92159296013415,507.8984177787788,61.56569404993206,100.98776791710407,184.85346564557403,0.0,114.21907835668235,61,311.6683040279895,388.83988512679935,478.6745884921401,271.37163397856057,361.67271016165614,479.0203556418419,-27.167174965143204,-25.870695943012834,-24.7765660751611,0.9836065573770492,-25.139247265751244,True,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/medium/records/e2e_requests.jsonl
E3_REPEAT1,ClusterA,medium,ARC,C2C,POLICY,a,128,77,51,,128,224.24375417176634,417.84174551721657,606.3144750194624,324.2163924733177,484.3873190227896,630.1973379822449,-26.834225025959313,61.930859461426735,241.87066450249395,0.40625,79.1811328726908,77,201.78550411947072,247.15972356498241,335.9208896104244,329.9728399142623,483.48229322582483,776.4319270290405,61.61668370477855,87.81539276242256,282.46916639618576,0.012987012987012988,148.54291405274788,51,343.9391709398478,510.95550903119147,614.6181389922276,317.77915894053876,484.5245520118624,587.8351394785568,-27.97793410718441,-26.261384831741452,-24.84384784474969,1.0,-25.54155635994439,False,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/medium/records/e2e_requests.jsonl
E3_REPEAT1,ClusterA,medium,ARC,C2C,POLICY,b,127,76,51,Mercury_7207358,127,224.68283213675022,419.57882773131143,606.4464851282536,329.9728399142623,484.4069237355143,630.4472910892217,-26.836935011669993,61.90061895176768,244.44411327131107,0.4094488188976378,79.30536300501251,76,201.7323444597423,247.38712748512626,336.3608659710735,330.56030550505966,483.62332850228995,782.2438376606442,61.612072051502764,99.15708343032748,282.7403604751453,0.013157894736842105,149.66316415781253,51,343.9391709398478,510.95550903119147,614.6181389922276,317.77915894053876,484.5245520118624,587.8351394785568,-27.97793410718441,-26.261384831741452,-24.84384784474969,1.0,-25.54155635994439,False,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/medium/records/e2e_requests.jsonl
E3_REPEAT1,ClusterA,large,MMLU-Pro,Text,POLICY,a,128,48,80,,128,973.4337865374982,1344.8488445021212,1680.4059933265673,1061.879105051048,1358.7469344725832,1729.1605991730469,-65.63598394859582,-20.873791188932955,895.618870202452,0.6015625,261.3976368884323,48,260.3728009853512,290.07444598246366,321.2781347101554,970.4063475364819,1283.1723240204158,1672.0400637574496,493.6382327461615,709.648399031721,1015.5555853387344,0.0,761.8312013316123,80,1129.4434084556997,1449.323049467057,1744.8952254629678,1080.7644430315122,1395.8149657119068,1721.9046989711926,-74.5432942174375,-39.87766650971025,-15.908413403667508,0.9625,-38.8625017774757,False,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/mmlu/records/four_arm_requests.jsonl
E3_REPEAT1,ClusterA,large,MMLU-Pro,Text,POLICY,b,127,48,79,test:3074,127,964.8444300983101,1346.5945479925722,1680.8849822077898,1053.5522510763258,1345.6238908227533,1729.5508809015153,-66.00734894163907,-20.99102921783924,896.0692585911602,0.6062992125984252,260.8223412420571,48,260.3728009853512,290.07444598246366,321.2781347101554,970.4063475364819,1283.1723240204158,1672.0400637574496,493.6382327461615,709.648399031721,1015.5555853387344,0.0,761.8312013316123,79,1126.6876459121704,1449.8484189622104,1747.3502984317017,1078.209802042693,1377.9769198503345,1722.9158735414967,-74.69588252715766,-40.09453090839088,-16.00231472402811,0.9746835443037974,-43.588105394634646,True,False,$DATA_DIR/P2_R1_E3POL_REPEAT1_20260919T075315Z/mmlu/records/four_arm_requests.jsonl
