pair,task,reference,variant,deployed_q,fit_threshold,cal_n,cal_k,accepted_q,dev_N,dev_omitted,dev_changed,dev_coverage_pct,dev_changed_over_omitted,historically_tested,label
large,OBQA,Text,fixed_sequence_0.02,0.8,0.001170039176940918,1064,18,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,742,572,19,77.088948787062,19/572,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,Text,Entropy,0.8,0.009175721715173002,1065,18,0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,742,572,18,77.088948787062,18/572,"historically tested (ProbeEntropy = H/ln4 in P2_ZERO_GOLD_CONTROLS; rank-equivalent, K=4)",POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,Text,Margin,0.8,0.002339548896998167,1067,19,0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,742,572,19,77.088948787062,19/572,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,C2C,primary_ProbeMax,0.8,0.001170039176940918,1064,22,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,742,572,13,77.088948787062,13/572,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,C2C,alpha_0.02,0.65,7.987022399902344e-06,870,4,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65,742,460,1,61.99460916442049,1/460,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,C2C,alpha_0.10,0.95,0.22272759675979614,1297,90,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95,742,703,45,94.74393530997304,45/703,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,C2C,fixed_sequence_0.02,0.85,0.008580565452575684,1135,37,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85,742,613,22,82.61455525606469,22/613,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,C2C,Entropy,0.8,0.009175721715173002,1065,22,0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,742,572,13,77.088948787062,13/572,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,C2C,Margin,0.8,0.002339548896998167,1067,22,0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,742,572,13,77.088948787062,13/572,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,Text,primary_ProbeMax,0.95,0.01800704002380371,422,4,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95,299,284,9,94.98327759197325,9/284,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,Text,alpha_0.02,0.8,8.940696716308594e-07,359,0,0.8,299,233,0,77.92642140468227,0/233,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,Text,alpha_0.10,1.0,Infinity,448,12,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95;1,299,299,15,100.0,15/299,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,Text,fixed_sequence_0.02,1.0,Infinity,448,12,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95;1,299,299,15,100.0,15/299,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,Text,Entropy,0.95,0.09034306867699536,422,4,0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95,299,284,9,94.98327759197325,9/284,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,Text,Margin,0.95,0.03260473534464836,421,4,0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95,299,284,9,94.98327759197325,9/284,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,C2C,primary_ProbeMax,0.9,0.0007095932960510254,404,7,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9,299,270,3,90.3010033444816,3/270,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,C2C,alpha_0.02,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,C2C,alpha_0.10,1.0,Infinity,448,21,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95;1,299,299,12,100.0,12/299,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,C2C,fixed_sequence_0.02,0.95,0.01800704002380371,422,11,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95,299,284,6,94.98327759197325,6/284,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,C2C,Entropy,0.9,0.005854976548206017,404,7,0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9,299,270,3,90.3010033444816,3/270,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,C2C,Margin,0.9,0.0014192636590451002,405,7,0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9,299,270,3,90.3010033444816,3/270,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,Text,primary_ProbeMax,0.4,3.838539123535156e-05,2358,67,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4,2641,1069,40,40.47709201060204,40/1069,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,Text,alpha_0.02,0.0,,,,,2641,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,Text,alpha_0.10,0.6,0.006694614887237549,3568,276,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6,2641,1596,109,60.431654676258994,109/1596,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,Text,fixed_sequence_0.02,0.45,0.00016927719116210938,2654,105,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45,2641,1205,56,45.626656569481256,56/1205,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,Text,Entropy,0.4,0.0004563647329891047,2358,68,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4,2641,1068,40,40.439227565316166,40/1068,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,Text,Margin,0.4,7.076141264406033e-05,2348,63,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4,2641,1069,40,40.47709201060204,40/1069,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,C2C,primary_ProbeMax,0.4,3.838539123535156e-05,2358,75,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4,2641,1069,37,40.47709201060204,37/1069,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,C2C,alpha_0.02,0.25,1.1920928955078125e-07,1542,9,0.05;0.1;0.15;0.2;0.25,2641,697,6,26.391518364255965,6/697,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,C2C,alpha_0.10,0.5,0.0007396936416625977,2948,186,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5,2641,1341,85,50.77622112836047,85/1341,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,C2C,fixed_sequence_0.02,0.4,3.838539123535156e-05,2358,75,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4,2641,1069,37,40.47709201060204,37/1069,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,C2C,Entropy,0.4,0.0004563647329891047,2358,74,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4,2641,1068,37,40.439227565316166,37/1068,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,C2C,Margin,0.4,7.076141264406033e-05,2348,75,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4,2641,1069,38,40.47709201060204,38/1069,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
