setting,alpha,deployed_q,threshold,cal_n,cal_k,cal_p,cal_row_note,dev_N,dev_correct_R,dev_correct_b,dev_correct_policy,dev_acc_policy_pct,dev_acc_R_pct,dev_acc_b_pct,dev_omitted,dev_changed,dev_kappa,dev_G_pts,dev_G_lo,dev_G_hi,dev_P_pts,dev_P_lo,dev_P_hi,dev_retention,dev_ret_lo,dev_ret_hi,dev_share_boot_G_le_0,dev_n_boot_G_eq_0_undefined,dev_corrections_total,dev_corrections_lost_omitted,dev_corrections_kept_routed,dev_kappa_alpha_pts,dev_kappa_alpha_lt_G,ho_N,ho_correct_R,ho_correct_b,ho_correct_policy,ho_acc_policy_pct,ho_acc_R_pct,ho_acc_b_pct,ho_omitted,ho_changed,ho_kappa,ho_G_pts,ho_G_lo,ho_G_hi,ho_P_pts,ho_P_lo,ho_P_hi,ho_retention,ho_ret_lo,ho_ret_hi,ho_share_boot_G_le_0,ho_n_boot_G_eq_0_undefined,ho_corrections_total,ho_corrections_lost_omitted,ho_corrections_kept_routed
large/MMLU-Pro/Text,0.01,fallback,,1442,14,0.5257911983127062,fallback: q=.05 candidate shown,2641,1282,1319,1319,49.943203332071185,48.542218856493754,49.943203332071185,0,0,0.0,1.4009844755774328,0.18932222642938368,2.57572889057175,1.4009844755774328,0.18932222642938368,2.57572889057175,1.0,1.0,1.0,0.0155,4,166,0,166,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,
large/MMLU-Pro/Text,0.02,fallback,,1442,14,0.0016051798963117253,fallback: q=.05 candidate shown,2641,1282,1319,1319,49.943203332071185,48.542218856493754,49.943203332071185,0,0,0.0,1.4009844755774328,0.18932222642938368,2.57572889057175,1.4009844755774328,0.18932222642938368,2.57572889057175,1.0,1.0,1.0,0.0155,4,166,0,166,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,
large/MMLU-Pro/Text,0.03,0.3,1.0728836059570312e-06,1817,26,1.0869975691936504e-05,,2641,1282,1319,1318,49.90533888678531,48.542218856493754,49.943203332071185,812,16,0.3074592957213177,1.4009844755774328,0.18932222642938368,2.57572889057175,1.3631200302915563,0.11359333585762577,2.5378644452858707,0.972972972972973,0.6666666666666504,1.3333333333333401,0.0155,4,166,7,159,0.922377887163953,True,,,,,,,,,,,,,,,,,,,,,,,,
large/MMLU-Pro/Text,0.04,0.35,7.808208465576172e-06,2105,43,3.587930567740515e-07,,2641,1282,1319,1321,50.018932222642945,48.542218856493754,49.943203332071185,952,31,0.36046951912154485,1.4009844755774328,0.18932222642938368,2.57572889057175,1.476713366149186,0.22718667171526263,2.650511170011355,1.0540540540540542,0.7491071428571309,1.6666666666666596,0.0155,4,166,8,158,1.4418780764861794,False,,,,,,,,,,,,,,,,,,,,,,,,
large/MMLU-Pro/Text,0.05,0.4,3.838539123535156e-05,2358,67,1.335577911279424e-07,,2641,1282,1319,1321,50.018932222642945,48.542218856493754,49.943203332071185,1069,40,0.40477092010602045,1.4009844755774328,0.18932222642938368,2.57572889057175,1.476713366149186,0.22718667171525708,2.612646724725481,1.0540540540540542,0.7170031055900646,1.8583333333333405,0.0155,4,166,12,154,2.023854600530102,False,,,,,,,,,,,,,,,,,,,,,,,,
large/OBQA/Text+fact,0.01,fallback,,642,2,0.044907150529615324,fallback: q=.05 candidate shown,742,617,670,670,90.29649595687331,83.15363881401618,90.29649595687331,0,0,0.0,7.142857142857142,4.85175202156335,9.433962264150942,7.142857142857142,4.85175202156335,9.433962264150942,1.0,1.0,1.0,0.0,0,62,0,62,0.0,True,744,618,678,678,91.12903225806451,83.06451612903226,91.12903225806451,0,0,0.0,8.064516129032258,5.910618279569888,10.215053763440851,8.064516129032258,5.910618279569888,10.215053763440851,1.0,1.0,1.0,0.0,0,67,0,67
large/OBQA/Text+fact,0.02,0.55,3.5762786865234375e-07,728,3,0.0002747384901457947,,742,617,670,669,90.16172506738545,83.15363881401618,90.29649595687331,398,1,0.5363881401617251,7.142857142857142,4.85175202156335,9.433962264150942,7.008086253369273,4.716981132075471,9.164420485175206,0.9811320754716981,0.9347736992159655,1.0,0.0,0,62,1,61,1.0727762803234502,True,744,618,678,676,90.86021505376344,83.06451612903226,91.12903225806451,404,2,0.543010752688172,8.064516129032258,5.910618279569888,10.215053763440851,7.795698924731183,5.645161290322576,9.946236559139777,0.9666666666666667,0.9137877820349085,1.0,0.0,0,67,2,65
large/OBQA/Text+fact,0.03,0.65,7.987022399902344e-06,870,11,0.0006407441916335228,,742,617,670,667,89.8921832884097,83.15363881401618,90.29649595687331,460,3,0.6199460916442049,7.142857142857142,4.85175202156335,9.433962264150942,6.738544474393531,4.582210242587603,8.89487870619946,0.9433962264150944,0.8775420694593622,1.0,0.0,0,62,3,59,1.8598382749326146,True,744,618,678,673,90.45698924731182,83.06451612903226,91.12903225806451,485,7,0.6518817204301075,8.064516129032258,5.910618279569888,10.215053763440851,7.39247311827957,5.376344086021501,9.408602150537638,0.9166666666666667,0.8307627118644069,1.0,0.0,0,67,6,61
large/OBQA/Text+fact,0.04,0.7,4.5418739318847656e-05,932,16,5.6298543226720336e-05,,742,617,670,664,89.4878706199461,83.15363881401618,90.29649595687331,493,7,0.6644204851752021,7.142857142857142,4.85175202156335,9.433962264150942,6.334231805929918,4.312668463611857,8.35579514824798,0.8867924528301886,0.794105975723623,0.9642857142857151,0.0,0,62,6,56,2.657681940700809,True,744,618,678,672,90.32258064516128,83.06451612903226,91.12903225806451,522,10,0.7016129032258065,8.064516129032258,5.910618279569888,10.215053763440851,7.258064516129033,5.241935483870963,9.274193548387089,0.9000000000000001,0.8076923076923077,1.0,0.0,0,67,8,59
large/OBQA/Text+fact,0.05,0.75,0.0002611875534057617,999,22,4.83045220043516e-06,,742,617,670,660,88.94878706199461,83.15363881401618,90.29649595687331,536,13,0.7223719676549866,7.142857142857142,4.85175202156335,9.433962264150942,5.795148247978436,3.7735849056603765,7.816711590296499,0.8113207547169812,0.6862605042016813,0.927272727272726,0.0,0,62,11,51,3.611859838274933,True,744,618,678,667,89.65053763440861,83.06451612903226,91.12903225806451,558,16,0.75,8.064516129032258,5.910618279569888,10.215053763440851,6.586021505376344,4.5698924731182755,8.467741935483875,0.8166666666666667,0.7058823529411765,0.9333606557377048,0.0,0,67,13,54
