task,id,route,policy_C_vs_same_round_fixed_C_raw_match,policy_C_vs_same_round_fixed_C_parsed_match,policy_C_vs_same_round_fixed_C_token_ids_match,policy_R_vs_Stage1_R_raw_match,policy_R_vs_Stage1_R_parsed_match,policy_R_vs_Stage1_R_token_ids_match,fixed_C_vs_Stage1_C_raw_match,fixed_C_vs_Stage1_C_parsed_match,online_ProbeMax_exactly_matches_Stage1,online_probe_input_hash_matches_Stage1,online_route_matches_Stage1,differences_retained_no_retry
arc,Mercury_7018008,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7011270,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7082145,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_SC_407314,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_400934,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7032340,C,True,True,True,,,,True,True,True,True,True,True
arc,TIMSS_2007_4_pg90,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7144795,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7183733,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7185133,R,,,,True,True,True,True,True,True,True,True,True
arc,NYSEDREGENTS_2014_4_17,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7141698,C,True,True,True,,,,True,True,True,True,True,True
arc,MCAS_1998_4_8,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_SC_400845,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7205345,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7068863,R,,,,True,True,True,True,True,True,True,True,True
arc,MCAS_1998_8_2,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7158673,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7014368,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7228603,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7138688,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7026198,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7015435,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7251685,C,True,True,True,,,,True,True,True,True,True,True
arc,MCAS_2006_5_29,C,True,True,True,,,,True,True,True,True,True,True
arc,NYSEDREGENTS_2014_4_13,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_412551,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7044678,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7270008,R,,,,True,True,True,True,True,True,True,True,True
arc,MDSA_2011_5_20,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7130603,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7246348,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_417146,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_192290,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7018148,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_SC_407695,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_SC_400172,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7264023,R,,,,True,True,True,True,True,True,True,True,True
arc,MCAS_2000_8_10,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7207620,R,,,,True,True,True,True,True,True,True,True,True
arc,TIMSS_2003_8_pg14,R,,,,True,True,True,True,True,True,True,True,True
arc,MCAS_2009_8_5,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7215180,R,,,,True,True,True,True,True,True,True,True,True
