pair,dataset,family,fold,action,scope,predictor,n,positive,positive_rate,ROC_AUC,AP,log_loss,NA_reason
large,obqa,word,4,A,both_R_and_action_valid_diagnostic_only,FFR_E0,686,5,0.007288629737609329,0.5491923641703378,0.009159574455705165,0.043550996514637744,
large,obqa,word,4,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,686,5,0.007288629737609329,0.5,0.007288629737609329,0.04347297036893738,
large,obqa,semantic,pooled,T,all,FFR_E0,3466,346,0.0998268897864974,0.5171011190158589,0.10569886151286628,0.32606516354758003,
large,obqa,semantic,pooled,T,all,constant_flip_rate,3466,346,0.0998268897864974,0.4705216207203201,0.09414780744036985,0.32502716780396257,
large,obqa,semantic,pooled,T,both_R_and_action_valid_diagnostic_only,FFR_E0,3461,341,0.0985264374458249,0.5164232273103241,0.10426802273747848,0.32322211595748973,
large,obqa,semantic,pooled,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,3461,341,0.0985264374458249,0.470711613655162,0.09289871382121251,0.3221553756421301,
large,obqa,semantic,pooled,C,all,FFR_E0,3466,287,0.08280438545874207,0.5174374954103201,0.09901041657475707,0.286365813576397,
large,obqa,semantic,pooled,C,all,constant_flip_rate,3466,287,0.08280438545874207,0.4824600245732831,0.07930845785041024,0.2856596157526979,
large,obqa,semantic,pooled,C,both_R_and_action_valid_diagnostic_only,FFR_E0,3455,276,0.07988422575976845,0.5180145064303332,0.09723813237873248,0.2792588055238054,
large,obqa,semantic,pooled,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,3455,276,0.07988422575976845,0.4839817233566293,0.07651633336295069,0.2786360029354528,
large,obqa,semantic,pooled,A,all,FFR_E0,3466,38,0.010963646855164455,0.4548225142786956,0.00990360628799735,0.06102932312712295,
large,obqa,semantic,pooled,A,all,constant_flip_rate,3466,38,0.010963646855164455,0.3935507891666155,0.008886876998486233,0.06086694086884235,
large,obqa,semantic,pooled,A,both_R_and_action_valid_diagnostic_only,FFR_E0,3445,21,0.006095791001451379,0.48570315976858036,0.006185104243293246,0.03869585349122821,
large,obqa,semantic,pooled,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,3445,21,0.006095791001451379,0.4034754672897196,0.005039994519563331,0.03874073011708063,
large,obqa,semantic,0,T,all,FFR_E0,694,71,0.10230547550432277,0.48258087852960463,0.11876808750200449,0.33404664838673237,
large,obqa,semantic,0,T,all,constant_flip_rate,694,71,0.10230547550432277,0.5,0.10230547550432277,0.3301725393031292,
large,obqa,semantic,0,T,both_R_and_action_valid_diagnostic_only,FFR_E0,694,71,0.10230547550432277,0.48258087852960463,0.11876808750200449,0.33404664838673237,
large,obqa,semantic,0,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,694,71,0.10230547550432277,0.5,0.10230547550432277,0.3301725393031292,
large,obqa,semantic,0,C,all,FFR_E0,694,57,0.08213256484149856,0.5079732297777411,0.10141774506314719,0.28544530286737674,
large,obqa,semantic,0,C,all,constant_flip_rate,694,57,0.08213256484149856,0.5,0.08213256484149856,0.28395183815851205,
large,obqa,semantic,0,C,both_R_and_action_valid_diagnostic_only,FFR_E0,693,56,0.08080808080808081,0.510316214397847,0.10114625462735218,0.282095162852813,
large,obqa,semantic,0,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,693,56,0.08080808080808081,0.5,0.08080808080808081,0.2807695968695827,
large,obqa,semantic,0,A,all,FFR_E0,694,9,0.012968299711815562,0.5414436334144364,0.0187397251663683,0.06940889631464264,
large,obqa,semantic,0,A,all,constant_flip_rate,694,9,0.012968299711815562,0.5,0.012968299711815562,0.06951630013380466,
large,obqa,semantic,0,A,both_R_and_action_valid_diagnostic_only,FFR_E0,691,6,0.008683068017366137,0.49416058394160584,0.01331853116826057,0.05011719640267652,
large,obqa,semantic,0,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,691,6,0.008683068017366137,0.5,0.008683068017366137,0.05002058857002963,
large,obqa,semantic,1,T,all,FFR_E0,693,62,0.08946608946608947,0.5847093706865701,0.11988066971416947,0.2993497041388632,
large,obqa,semantic,1,T,all,constant_flip_rate,693,62,0.08946608946608947,0.5,0.08946608946608947,0.302249389685121,
large,obqa,semantic,1,T,both_R_and_action_valid_diagnostic_only,FFR_E0,692,61,0.08815028901734104,0.5799017952248577,0.1166722789710061,0.2967944257085925,
large,obqa,semantic,1,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,692,61,0.08815028901734104,0.5,0.08815028901734104,0.29939323156695696,
large,obqa,semantic,1,C,all,FFR_E0,693,58,0.0836940836940837,0.5428726581591093,0.09936511328622792,0.28759242728847195,
large,obqa,semantic,1,C,all,constant_flip_rate,693,58,0.0836940836940837,0.5,0.0836940836940837,0.287708302126234,
large,obqa,semantic,1,C,both_R_and_action_valid_diagnostic_only,FFR_E0,692,57,0.08236994219653179,0.5501588617212322,0.09945576695180558,0.28403819515309814,
large,obqa,semantic,1,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,692,57,0.08236994219653179,0.5,0.08236994219653179,0.28452007273326396,
large,obqa,semantic,1,A,all,FFR_E0,693,4,0.005772005772005772,0.6237300435413643,0.01028566802117946,0.03741304926200508,
large,obqa,semantic,1,A,all,constant_flip_rate,693,4,0.005772005772005772,0.5,0.005772005772005772,0.03767013837086391,
large,obqa,semantic,1,A,both_R_and_action_valid_diagnostic_only,FFR_E0,690,2,0.002898550724637681,0.6518895348837209,0.007752041772660329,0.024929806415973463,
large,obqa,semantic,1,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,690,2,0.002898550724637681,0.5,0.002898550724637681,0.025058579670517035,
large,obqa,semantic,2,T,all,FFR_E0,693,66,0.09523809523809523,0.5217485863418878,0.09850101170115735,0.31578736727015533,
large,obqa,semantic,2,T,all,constant_flip_rate,693,66,0.09523809523809523,0.5,0.09523809523809523,0.31467653164977333,
