pair,dataset,family,n_actions,lambda,n,version,panel_accuracy,action_cost_replay_ms,cost_scope
small,obqa,word,4,0.1,128,old_V2_rescored,0.5078125,374.70085888281244,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,0.1,128,updated_V2,0.5078125,375.66701811718747,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,0.3,128,old_V2_rescored,0.515625,354.91183303125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,0.3,128,updated_V2,0.5078125,355.03128703125003,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,1,128,old_V2_rescored,0.453125,322.252294046875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,1,128,updated_V2,0.453125,322.62482915625003,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,3,128,old_V2_rescored,0.4375,295.94212253125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,3,128,updated_V2,0.4375,295.94212253125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,NA,128,fixed_R,0.4375,295.2237855390625,old panel action-only replay; fixed action
small,obqa,word,4,NA,128,fixed_T,0.515625,899.4116217734374,old panel action-only replay; fixed action
small,obqa,word,4,NA,128,fixed_C,0.515625,361.868204640625,old panel action-only replay; fixed action
small,obqa,word,4,NA,128,fixed_A,0.421875,312.516828953125,old panel action-only replay; fixed action
small,obqa,semantic,3,0,128,old_V2_rescored,0.484375,471.20303235156246,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,3,0,128,updated_V2,0.484375,474.98773984375,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,3,0.01,128,old_V2_rescored,0.4765625,450.61165035937495,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,3,0.01,128,updated_V2,0.484375,451.865955296875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,3,0.03,128,old_V2_rescored,0.4921875,419.12468335156245,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,3,0.03,128,updated_V2,0.4921875,414.85445814062496,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,3,0.1,128,old_V2_rescored,0.5234375,358.5874115703125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,3,0.1,128,updated_V2,0.5234375,358.5874115703125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,3,0.3,128,old_V2_rescored,0.5078125,356.00543046093753,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,3,0.3,128,updated_V2,0.5078125,356.00543046093753,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,3,1,128,old_V2_rescored,0.4609375,315.8567750546875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,3,1,128,updated_V2,0.4609375,318.235531390625,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,3,3,128,old_V2_rescored,0.4453125,297.6518019921875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,3,3,128,updated_V2,0.4453125,297.6518019921875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,0,128,old_V2_rescored,0.484375,470.747663390625,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,0,128,updated_V2,0.484375,474.53237088281253,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,0.01,128,old_V2_rescored,0.4765625,450.7870899921875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,0.01,128,updated_V2,0.484375,451.4105863359375,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,0.03,128,old_V2_rescored,0.4921875,419.300122984375,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,0.03,128,updated_V2,0.4921875,415.0298977734375,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,0.1,128,old_V2_rescored,0.515625,358.3220439296875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,0.1,128,updated_V2,0.5234375,358.762851203125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,0.3,128,old_V2_rescored,0.5078125,356.140918515625,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,0.3,128,updated_V2,0.5078125,355.9244948203125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,1,128,old_V2_rescored,0.4609375,315.982525484375,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,1,128,updated_V2,0.4609375,318.36128182031246,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,3,128,old_V2_rescored,0.4453125,297.6518019921875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,3,128,updated_V2,0.4453125,297.6518019921875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,semantic,4,NA,128,fixed_R,0.4375,295.2237855390625,old panel action-only replay; fixed action
small,obqa,semantic,4,NA,128,fixed_T,0.515625,899.4116217734374,old panel action-only replay; fixed action
small,obqa,semantic,4,NA,128,fixed_C,0.515625,361.868204640625,old panel action-only replay; fixed action
small,obqa,semantic,4,NA,128,fixed_A,0.421875,312.516828953125,old panel action-only replay; fixed action
large,arc,word,3,0,128,old_V2_rescored,0.921875,996.636013765625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,3,0,128,updated_V2,0.9140625,993.573538171875,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,3,0.01,128,old_V2_rescored,0.8984375,304.53141265625004,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,3,0.01,128,updated_V2,0.8984375,304.10227747656245,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,3,0.03,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,3,0.03,128,updated_V2,0.8984375,267.49848825000004,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,3,0.1,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,3,0.1,128,updated_V2,0.8984375,267.6933713125,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,3,0.3,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,3,0.3,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,3,1,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,3,1,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,3,3,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,3,3,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,0,128,old_V2_rescored,0.921875,996.9760043203124,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,0,128,updated_V2,0.9140625,993.9135287265625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,0.01,128,old_V2_rescored,0.8984375,305.54352627343746,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,0.01,128,updated_V2,0.8984375,305.11439109375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,0.03,128,old_V2_rescored,0.8984375,267.109376,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,0.03,128,updated_V2,0.8984375,267.49848825000004,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,0.1,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,0.1,128,updated_V2,0.8984375,267.6933713125,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,0.3,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,0.3,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,1,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,1,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,3,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,3,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,word,4,NA,128,fixed_R,0.8984375,266.6171222734375,old panel action-only replay; fixed action
large,arc,word,4,NA,128,fixed_T,0.9140625,1060.6606055078125,old panel action-only replay; fixed action
large,arc,word,4,NA,128,fixed_C,0.890625,422.5938222109375,old panel action-only replay; fixed action
large,arc,word,4,NA,128,fixed_A,0.8984375,297.05600934375,old panel action-only replay; fixed action
large,arc,semantic,3,0,128,old_V2_rescored,0.90625,986.0328052890625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,3,0,128,updated_V2,0.90625,955.0604011171874,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,3,0.01,128,old_V2_rescored,0.890625,354.965364421875,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,3,0.01,128,updated_V2,0.8984375,337.06999374218753,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,3,0.03,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,3,0.03,128,updated_V2,0.90625,279.21945278906253,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,3,0.1,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
