pair,dataset,family,fold,action,validity_scope,n,flip_count,flip_rate,gain_count,harm_count,zero_gain_flip_count,R_accuracy,action_accuracy
large,obqa,semantic,pooled,A,both_valid,3445,21,0.006095791001451379,12,4,5,0.8197387518142235,0.8220609579100145
large,obqa,semantic,pooled,A,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,semantic,pooled,A,action_invalid_only,17,17,1.0,0,6,11,0.35294117647058826,0.0
large,obqa,semantic,pooled,A,both_invalid,4,0,0.0,0,0,0,0.0,0.0
large,obqa,semantic,0,T,all,694,71,0.10230547550432277,44,18,9,0.8213256484149856,0.8587896253602305
large,obqa,semantic,0,T,both_valid,694,71,0.10230547550432277,44,18,9,0.8213256484149856,0.8587896253602305
large,obqa,semantic,0,T,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,semantic,0,T,action_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,semantic,0,T,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,semantic,0,C,all,694,57,0.08213256484149856,18,31,8,0.8213256484149856,0.8025936599423631
large,obqa,semantic,0,C,both_valid,693,56,0.08080808080808081,18,30,8,0.8210678210678211,0.8037518037518038
large,obqa,semantic,0,C,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,semantic,0,C,action_invalid_only,1,1,1.0,0,1,0,1.0,0.0
large,obqa,semantic,0,C,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,semantic,0,A,all,694,9,0.012968299711815562,3,3,3,0.8213256484149856,0.8213256484149856
large,obqa,semantic,0,A,both_valid,691,6,0.008683068017366137,3,1,2,0.8219971056439942,0.8248914616497829
large,obqa,semantic,0,A,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,semantic,0,A,action_invalid_only,3,3,1.0,0,2,1,0.6666666666666666,0.0
large,obqa,semantic,0,A,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,semantic,1,T,all,693,62,0.08946608946608947,40,10,12,0.8181818181818182,0.8614718614718615
