pair,dataset,family,n_actions,lambda,n,old_V2_rescored_accuracy,updated_V2_accuracy,accuracy_change,changed_selections,C_probability_mean_change,old_select_R,updated_select_R,old_select_T,updated_select_T,old_select_C,updated_select_C,old_select_A,updated_select_A
large,arc,word,4,0.01,299,0.8996655518394648,0.8996655518394648,0.0,27,0.04549178515656212,0.862876254180602,0.8060200668896321,0.09364548494983277,0.06688963210702341,0.0,0.0903010033444816,0.043478260869565216,0.03678929765886288
large,arc,word,4,0.03,299,0.8963210702341137,0.8963210702341137,0.0,9,0.04549178515656212,0.979933110367893,0.959866220735786,0.0,0.0,0.0,0.030100334448160536,0.020066889632107024,0.010033444816053512
large,arc,word,4,0.1,299,0.8963210702341137,0.8963210702341137,0.0,1,0.04549178515656212,1.0,0.9966555183946488,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0
large,arc,word,4,0.3,299,0.8963210702341137,0.8963210702341137,0.0,0,0.04549178515656212,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
large,arc,word,4,1,299,0.8963210702341137,0.8963210702341137,0.0,0,0.04549178515656212,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
large,arc,word,4,3,299,0.8963210702341137,0.8963210702341137,0.0,0,0.04549178515656212,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
large,arc,semantic,3,0,299,0.9130434782608695,0.9163879598662207,0.0033444816053511705,26,0.047955609032611986,0.07023411371237458,0.046822742474916385,0.9230769230769231,0.8662207357859532,0.006688963210702341,0.08695652173913043,NA,NA
large,arc,semantic,3,0.01,299,0.8996655518394648,0.8996655518394648,0.0,51,0.047955609032611986,0.8695652173913043,0.745819397993311,0.11705685618729098,0.07023411371237458,0.013377926421404682,0.18394648829431437,NA,NA
large,arc,semantic,3,0.03,299,0.8963210702341137,0.8996655518394648,0.0033444816053511705,38,0.047955609032611986,0.9966555183946488,0.8695652173913043,0.0,0.0,0.0033444816053511705,0.13043478260869565,NA,NA
large,arc,semantic,3,0.1,299,0.8963210702341137,0.8963210702341137,0.0,2,0.047955609032611986,1.0,0.9933110367892977,0.0,0.0,0.0,0.006688963210702341,NA,NA
large,arc,semantic,3,0.3,299,0.8963210702341137,0.8963210702341137,0.0,0,0.047955609032611986,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA
large,arc,semantic,3,1,299,0.8963210702341137,0.8963210702341137,0.0,0,0.047955609032611986,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA
large,arc,semantic,3,3,299,0.8963210702341137,0.8963210702341137,0.0,0,0.047955609032611986,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA
large,arc,semantic,4,0,299,0.9130434782608695,0.9163879598662207,0.0033444816053511705,26,0.047955609032611986,0.06354515050167224,0.043478260869565216,0.919732441471572,0.862876254180602,0.006688963210702341,0.08695652173913043,0.010033444816053512,0.006688963210702341
large,arc,semantic,4,0.01,299,0.8996655518394648,0.8996655518394648,0.0,51,0.047955609032611986,0.8193979933110368,0.7090301003344481,0.11371237458193979,0.07023411371237458,0.013377926421404682,0.18394648829431437,0.05351170568561873,0.03678929765886288
large,arc,semantic,4,0.03,299,0.8963210702341137,0.8996655518394648,0.0033444816053511705,38,0.047955609032611986,0.9832775919732442,0.8595317725752508,0.0,0.0,0.0033444816053511705,0.13043478260869565,0.013377926421404682,0.010033444816053512
large,arc,semantic,4,0.1,299,0.8963210702341137,0.8963210702341137,0.0,2,0.047955609032611986,1.0,0.9933110367892977,0.0,0.0,0.0,0.006688963210702341,0.0,0.0
large,arc,semantic,4,0.3,299,0.8963210702341137,0.8963210702341137,0.0,0,0.047955609032611986,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
large,arc,semantic,4,1,299,0.8963210702341137,0.8963210702341137,0.0,0,0.047955609032611986,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
large,arc,semantic,4,3,299,0.8963210702341137,0.8963210702341137,0.0,0,0.047955609032611986,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
small,arc,word,3,0,299,0.5083612040133779,0.5083612040133779,0.0,3,0.003714845193159283,0.0033444816053511705,0.0033444816053511705,0.05351170568561873,0.043478260869565216,0.9431438127090301,0.9531772575250836,NA,NA
small,arc,word,3,0.01,299,0.5117056856187291,0.5150501672240803,0.0033444816053511705,1,0.003714845193159283,0.0033444816053511705,0.0033444816053511705,0.026755852842809364,0.023411371237458192,0.9698996655518395,0.9732441471571907,NA,NA
small,arc,word,3,0.03,299,0.5150501672240803,0.5150501672240803,0.0,0,0.003714845193159283,0.0033444816053511705,0.0033444816053511705,0.016722408026755852,0.016722408026755852,0.979933110367893,0.979933110367893,NA,NA
small,arc,word,3,0.1,299,0.5150501672240803,0.5150501672240803,0.0,0,0.003714845193159283,0.013377926421404682,0.013377926421404682,0.0,0.0,0.9866220735785953,0.9866220735785953,NA,NA
small,arc,word,3,0.3,299,0.5083612040133779,0.5117056856187291,0.0033444816053511705,2,0.003714845193159283,0.043478260869565216,0.03678929765886288,0.0,0.0,0.9565217391304348,0.9632107023411371,NA,NA
small,arc,word,3,1,299,0.43812709030100333,0.43812709030100333,0.0,3,0.003714845193159283,0.5986622073578596,0.5953177257525084,0.0,0.0,0.4013377926421405,0.40468227424749165,NA,NA
