pair,dataset,reference,split,q,selected,cal_accepted,N,n_R,coverage,changed,conditional_risk,marginal_change,correct,accuracy,reference_correct,accuracy_diff_reference,best_fixed_correct,accuracy_diff_best_fixed,benefit,harm,neutral_change,risk_CP95_low,risk_CP95_high,identity
large,obqa,T,fit,0.05,False,True,2100,1049,0.49952380952380954,3,0.002859866539561487,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005901619878743287,0.008334796256223768,predeclared descriptive curve; no dev selection
large,obqa,T,dev,0.5,False,True,742,380,0.5121293800539084,2,0.005263157894736842,0.0026954177897574125,645,0.8692722371967655,645,0.0,645,0.0,1,1,0,0.0006380295892053359,0.018882081777306645,predeclared descriptive curve; no dev selection
large,obqa,T,dev,0.55,False,True,742,398,0.5363881401617251,2,0.005025125628140704,0.0026954177897574125,645,0.8692722371967655,645,0.0,645,0.0,1,1,0,0.0006091464342492243,0.01803372433473432,predeclared descriptive curve; no dev selection
large,obqa,T,dev,0.6,False,True,742,431,0.5808625336927223,3,0.0069605568445475635,0.004043126684636119,644,0.8679245283018868,645,-0.0013477088948787063,645,-0.0013477088948786742,1,2,0,0.0014377408327276968,0.02020599982635587,predeclared descriptive curve; no dev selection
large,obqa,T,dev,0.65,False,True,742,460,0.6199460916442049,6,0.013043478260869565,0.008086253369272238,645,0.8692722371967655,645,0.0,645,0.0,3,3,0,0.004801364119251769,0.028172782409209347,predeclared descriptive curve; no dev selection
large,obqa,T,dev,0.7,False,True,742,493,0.6644204851752021,10,0.02028397565922921,0.013477088948787063,643,0.866576819407008,645,-0.0026954177897574125,645,-0.0026954177897574594,4,6,0,0.00976877439502944,0.036985836686840044,predeclared descriptive curve; no dev selection
large,obqa,T,dev,0.75,False,True,742,536,0.7223719676549866,15,0.027985074626865673,0.02021563342318059,642,0.8652291105121294,645,-0.004043126684636119,645,-0.0040431266846361336,6,9,0,0.015745819992860382,0.045737528836108404,predeclared descriptive curve; no dev selection
large,obqa,T,dev,0.8,True,True,742,572,0.77088948787062,19,0.033216783216783216,0.025606469002695417,638,0.8598382749326146,645,-0.009433962264150943,645,-0.009433962264150941,6,13,0,0.0201148221780326,0.051387485520858665,predeclared descriptive curve; no dev selection
large,obqa,T,dev,0.85,False,False,742,613,0.8261455525606469,22,0.03588907014681892,0.029649595687331536,636,0.8571428571428571,645,-0.012129380053908356,645,-0.0121293800539084,6,15,1,0.02262560010758909,0.05383410926768352,predeclared descriptive curve; no dev selection
large,obqa,T,dev,0.9,False,False,742,676,0.9110512129380054,44,0.0650887573964497,0.05929919137466307,630,0.8490566037735849,645,-0.02021563342318059,645,-0.020215633423180557,12,27,5,0.04768831407480255,0.08639655351554304,predeclared descriptive curve; no dev selection
large,obqa,T,dev,0.95,False,False,742,703,0.9474393530997305,55,0.07823613086770982,0.07412398921832884,621,0.8369272237196765,645,-0.03234501347708895,645,-0.03234501347708896,13,37,5,0.05947930825714937,0.10061975070878783,predeclared descriptive curve; no dev selection
large,obqa,T,dev,1.0,False,False,742,742,1.0,72,0.09703504043126684,0.09703504043126684,617,0.8315363881401617,645,-0.03773584905660377,645,-0.037735849056603765,18,46,8,0.07669915718962547,0.12063764140899545,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.05,False,True,2100,1049,0.49952380952380954,1,0.0009532888465204957,0.0004761904761904762,1680,0.8,1679,0.0004761904761904762,1800,-0.05714285714285705,1,0,0,2.4134892718561603e-05,0.0052998261796501234,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.1,False,True,2100,1049,0.49952380952380954,1,0.0009532888465204957,0.0004761904761904762,1680,0.8,1679,0.0004761904761904762,1800,-0.05714285714285705,1,0,0,2.4134892718561603e-05,0.0052998261796501234,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.15,False,True,2100,1049,0.49952380952380954,1,0.0009532888465204957,0.0004761904761904762,1680,0.8,1679,0.0004761904761904762,1800,-0.05714285714285705,1,0,0,2.4134892718561603e-05,0.0052998261796501234,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.2,False,True,2100,1049,0.49952380952380954,1,0.0009532888465204957,0.0004761904761904762,1680,0.8,1679,0.0004761904761904762,1800,-0.05714285714285705,1,0,0,2.4134892718561603e-05,0.0052998261796501234,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.25,False,True,2100,1049,0.49952380952380954,1,0.0009532888465204957,0.0004761904761904762,1680,0.8,1679,0.0004761904761904762,1800,-0.05714285714285705,1,0,0,2.4134892718561603e-05,0.0052998261796501234,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.3,False,True,2100,1049,0.49952380952380954,1,0.0009532888465204957,0.0004761904761904762,1680,0.8,1679,0.0004761904761904762,1800,-0.05714285714285705,1,0,0,2.4134892718561603e-05,0.0052998261796501234,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.35,False,True,2100,1049,0.49952380952380954,1,0.0009532888465204957,0.0004761904761904762,1680,0.8,1679,0.0004761904761904762,1800,-0.05714285714285705,1,0,0,2.4134892718561603e-05,0.0052998261796501234,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.4,False,True,2100,1049,0.49952380952380954,1,0.0009532888465204957,0.0004761904761904762,1680,0.8,1679,0.0004761904761904762,1800,-0.05714285714285705,1,0,0,2.4134892718561603e-05,0.0052998261796501234,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.45,False,True,2100,1049,0.49952380952380954,1,0.0009532888465204957,0.0004761904761904762,1680,0.8,1679,0.0004761904761904762,1800,-0.05714285714285705,1,0,0,2.4134892718561603e-05,0.0052998261796501234,predeclared descriptive curve; no dev selection
