pair,dataset,reference,q,threshold,N,n_R,changed,conditional_risk,p_value,CP_upper_0_999,accepted,coverage,calculation_identity
small,obqa,T,0.65,0.06818485260009766,1366,935,354,0.3786096256684492,1.0,0.4289058140318727,False,0.6844802342606149,new
small,obqa,T,0.7,0.09768414497375488,1366,1007,392,0.38927507447864945,1.0,0.4378742783883631,False,0.7371888726207906,new
small,obqa,T,0.75,0.1333599090576172,1366,1064,426,0.40037593984962405,1.0,0.44778350630752384,False,0.7789165446559297,new
small,obqa,T,0.8,0.1825515627861023,1366,1110,447,0.4027027027027027,1.0,0.4491284884088412,False,0.8125915080527086,new
small,obqa,T,0.85,0.23033851385116577,1366,1180,488,0.4135593220338983,1.0,0.4586821268355903,False,0.8638360175695461,new
small,obqa,T,0.9,0.3213103413581848,1366,1243,522,0.41995172968624295,1.0,0.4639574226515252,False,0.9099560761346999,new
small,obqa,T,0.95,0.43785351514816284,1366,1313,562,0.428027418126428,1.0,0.47089060430523966,False,0.9612005856515373,new
small,obqa,T,1.0,Infinity,1366,1366,598,0.4377745241581259,1.0,0.4798483993108848,False,1.0,new
small,obqa,C,0.05,0.00014084577560424805,1366,65,2,0.03076923076923077,0.36299667300016447,0.16096722074665454,False,0.04758418740849195,new
small,obqa,C,0.1,0.0004979372024536133,1366,142,10,0.07042253521126761,0.8997516160542125,0.1616351208782387,False,0.10395314787701318,new
small,obqa,C,0.15,0.0009494423866271973,1366,216,22,0.10185185185185185,0.9994251841393907,0.18030111335632237,False,0.1581259150805271,new
small,obqa,C,0.2,0.0018350481986999512,1366,282,36,0.1276595744680851,0.9999998932246591,0.19965351783714264,False,0.20644216691068815,new
small,obqa,C,0.25,0.0032129883766174316,1366,375,65,0.17333333333333334,1.0,0.24073893095564528,False,0.2745241581259151,new
small,obqa,C,0.3,0.00520014762878418,1366,447,101,0.22595078299776286,1.0,0.2920756260709363,False,0.32723279648609077,new
small,obqa,C,0.35,0.0075501203536987305,1366,506,132,0.2608695652173913,1.0,0.32511792451587385,False,0.37042459736456806,new
small,obqa,C,0.4,0.011367261409759521,1366,572,171,0.29895104895104896,1.0,0.3611102455216821,False,0.41874084919472915,new
small,obqa,C,0.45,0.01766204833984375,1366,642,202,0.3146417445482866,1.0,0.3737958849740155,False,0.4699853587115666,new
small,obqa,C,0.5,0.023335695266723633,1366,703,221,0.31436699857752487,1.0,0.3707882325791125,False,0.5146412884333821,new
small,obqa,C,0.55,0.033761560916900635,1366,790,275,0.34810126582278483,1.0,0.40224232702363644,False,0.5783308931185944,new
small,obqa,C,0.6,0.047892868518829346,1366,868,320,0.3686635944700461,1.0,0.4207165288315957,False,0.6354319180087847,new
small,obqa,C,0.65,0.06818485260009766,1366,935,361,0.386096256684492,1.0,0.43652026456588444,False,0.6844802342606149,new
small,obqa,C,0.7,0.09768414497375488,1366,1007,409,0.40615690168818275,1.0,0.45498427373367833,False,0.7371888726207906,new
small,obqa,C,0.75,0.1333599090576172,1366,1064,448,0.42105263157894735,1.0,0.4686823384122945,False,0.7789165446559297,new
small,obqa,C,0.8,0.1825515627861023,1366,1110,481,0.43333333333333335,1.0,0.48004238949746036,False,0.8125915080527086,new
small,obqa,C,0.85,0.23033851385116577,1366,1180,522,0.4423728813559322,1.0,0.4877061689932405,False,0.8638360175695461,new
small,obqa,C,0.9,0.3213103413581848,1366,1243,562,0.45213193885760256,1.0,0.4963247980492808,False,0.9099560761346999,new
small,obqa,C,0.95,0.43785351514816284,1366,1313,602,0.4584920030464585,1.0,0.5014938445808188,False,0.9612005856515373,new
small,obqa,C,1.0,Infinity,1366,1366,640,0.4685212298682284,1.0,0.5106839286209499,False,1.0,new
small,arc,T,0.05,0.00011157989501953125,448,18,4,0.2222222222222222,0.998453560366658,0.6083440994691967,False,0.04017857142857143,new
small,arc,T,0.1,0.0004367232322692871,448,33,5,0.15151515151515152,0.9946125467066538,0.418621975179847,False,0.07366071428571429,new
small,arc,T,0.15,0.0012328028678894043,448,50,9,0.18,0.9998414367023761,0.3940927708388385,False,0.11160714285714286,new
small,arc,T,0.2,0.002542734146118164,448,78,23,0.2948717948717949,0.999999999999667,0.4733713401708328,False,0.17410714285714285,new
small,arc,T,0.25,0.004671871662139893,448,108,33,0.3055555555555556,1.0,0.45612446978806176,False,0.24107142857142858,new
small,arc,T,0.3,0.006744503974914551,448,128,43,0.3359375,1.0,0.4749101113140891,False,0.2857142857142857,new
small,arc,T,0.35,0.009816467761993408,448,140,49,0.35,1.0,0.4830645912109357,False,0.3125,new
small,arc,T,0.4,0.014494717121124268,448,163,63,0.38650306748466257,1.0,0.510215486261638,False,0.3638392857142857,new
small,arc,T,0.45,0.02129054069519043,448,182,72,0.3956043956043956,1.0,0.5125943569982601,False,0.40625,new
small,arc,T,0.5,0.02968961000442505,448,206,83,0.4029126213592233,1.0,0.5127613073494841,False,0.45982142857142855,new
small,arc,T,0.55,0.04347580671310425,448,234,96,0.41025641025641024,1.0,0.513218052836893,False,0.5223214285714286,new
small,arc,T,0.6,0.06113743782043457,448,263,115,0.4372623574144487,1.0,0.5343287332604927,False,0.5870535714285714,new
small,arc,T,0.65,0.0874868631362915,448,289,134,0.46366782006920415,1.0,0.5560433895166048,False,0.6450892857142857,new
small,arc,T,0.7,0.1193498969078064,448,315,151,0.4793650793650794,1.0,0.5676251194094253,False,0.703125,new
small,arc,T,0.75,0.1509310007095337,448,341,165,0.4838709677419355,1.0,0.5686171931277096,False,0.7611607142857143,new
small,arc,T,0.8,0.22326356172561646,448,362,176,0.4861878453038674,1.0,0.5683940196899854,False,0.8080357142857143,new
small,arc,T,0.85,0.272111713886261,448,378,190,0.5026455026455027,1.0,0.5828173095686686,False,0.84375,new
small,arc,T,0.9,0.34250950813293457,448,392,195,0.49744897959183676,1.0,0.5762641684125849,False,0.875,new
