name,B,repeat,subset_file,anchor,n_R,coverage,random_expected_changes,random_hypergeom95_low,random_hypergeom95_high,new_changes,new_risk,D_changes,D_risk,R2100_changes,R2100_risk
R128_r1,128,1,subsets/R128_r1.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,7,0.030434782608695653,6,0.02608695652173913,5,0.021739130434782608
R128_r1,128,1,subsets/R128_r1.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,9,0.030927835051546393,8,0.027491408934707903,7,0.024054982817869417
R512_r1,512,1,subsets/R512_r1.json,new_frozen,142,0.19137466307277629,13.778975741239892,8,20,3,0.02112676056338028,4,0.028169014084507043,3,0.02112676056338028
R512_r1,512,1,subsets/R512_r1.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,6,0.02608695652173913,6,0.02608695652173913,5,0.021739130434782608
R512_r1,512,1,subsets/R512_r1.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,8,0.027491408934707903,8,0.027491408934707903,7,0.024054982817869417
R32_r2,32,2,subsets/R32_r2.json,new_frozen,0,0.0,0.0,0,0,0,,0,,0,
R32_r2,32,2,subsets/R32_r2.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,5,0.021739130434782608,6,0.02608695652173913,5,0.021739130434782608
R32_r2,32,2,subsets/R32_r2.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,8,0.027491408934707903,8,0.027491408934707903,7,0.024054982817869417
R128_r2,128,2,subsets/R128_r2.json,new_frozen,179,0.24123989218328842,17.369272237196764,11,24,5,0.027932960893854747,4,0.0223463687150838,4,0.0223463687150838
R128_r2,128,2,subsets/R128_r2.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,6,0.02608695652173913,6,0.02608695652173913,5,0.021739130434782608
R128_r2,128,2,subsets/R128_r2.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,9,0.030927835051546393,8,0.027491408934707903,7,0.024054982817869417
R512_r2,512,2,subsets/R512_r2.json,new_frozen,213,0.28706199460916443,20.66846361185984,14,28,3,0.014084507042253521,5,0.023474178403755867,5,0.023474178403755867
R512_r2,512,2,subsets/R512_r2.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,3,0.013043478260869565,6,0.02608695652173913,5,0.021739130434782608
R512_r2,512,2,subsets/R512_r2.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,7,0.024054982817869417,8,0.027491408934707903,7,0.024054982817869417
R32_r3,32,3,subsets/R32_r3.json,new_frozen,313,0.42183288409703507,30.371967654986523,23,38,9,0.02875399361022364,10,0.03194888178913738,10,0.03194888178913738
R32_r3,32,3,subsets/R32_r3.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,5,0.021739130434782608,6,0.02608695652173913,5,0.021739130434782608
R32_r3,32,3,subsets/R32_r3.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,7,0.024054982817869417,8,0.027491408934707903,7,0.024054982817869417
R128_r3,128,3,subsets/R128_r3.json,new_frozen,223,0.3005390835579515,21.638814016172507,15,29,7,0.03139013452914798,6,0.026905829596412557,5,0.02242152466367713
R128_r3,128,3,subsets/R128_r3.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,7,0.030434782608695653,6,0.02608695652173913,5,0.021739130434782608
R128_r3,128,3,subsets/R128_r3.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,15,0.05154639175257732,8,0.027491408934707903,7,0.024054982817869417
R512_r3,512,3,subsets/R512_r3.json,new_frozen,295,0.3975741239892183,28.62533692722372,21,36,9,0.030508474576271188,8,0.02711864406779661,8,0.02711864406779661
R512_r3,512,3,subsets/R512_r3.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,5,0.021739130434782608,6,0.02608695652173913,5,0.021739130434782608
R512_r3,512,3,subsets/R512_r3.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,8,0.027491408934707903,8,0.027491408934707903,7,0.024054982817869417
R32_r4,32,4,subsets/R32_r4.json,new_frozen,0,0.0,0.0,0,0,0,,0,,0,
R32_r4,32,4,subsets/R32_r4.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,13,0.05652173913043478,6,0.02608695652173913,5,0.021739130434782608
R32_r4,32,4,subsets/R32_r4.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,19,0.06529209621993128,8,0.027491408934707903,7,0.024054982817869417
R128_r4,128,4,subsets/R128_r4.json,new_frozen,219,0.29514824797843664,21.250673854447438,14,29,6,0.0273972602739726,6,0.0273972602739726,5,0.0228310502283105
R128_r4,128,4,subsets/R128_r4.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,7,0.030434782608695653,6,0.02608695652173913,5,0.021739130434782608
R128_r4,128,4,subsets/R128_r4.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,10,0.03436426116838488,8,0.027491408934707903,7,0.024054982817869417
R512_r4,512,4,subsets/R512_r4.json,new_frozen,326,0.4393530997304582,31.63342318059299,24,40,12,0.03680981595092025,11,0.03374233128834356,10,0.03067484662576687
R512_r4,512,4,subsets/R512_r4.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,5,0.021739130434782608,6,0.02608695652173913,5,0.021739130434782608
R512_r4,512,4,subsets/R512_r4.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,7,0.024054982817869417,8,0.027491408934707903,7,0.024054982817869417
