name,B,repeat,subset_file,family,q,threshold,N,n_R,changed,conditional_risk,p_value,CP_upper_0_999,accepted,coverage,marginal_change,M,source_identity
R128_r2,128,2,subsets/R128_r2.json,R128_r2,0.55,0.11741278752534912,1366,712,28,0.03932584269662921,0.108226815718088,0.06716330802176507,False,0.5212298682284041,0.020497803806734993,100,new_test
R128_r2,128,2,subsets/R128_r2.json,R128_r2,0.6,0.11780034747771873,1366,791,36,0.045512010113780026,0.31599454301435115,0.07311104209561285,False,0.5790629575402635,0.02635431918008785,100,new_test
R128_r2,128,2,subsets/R128_r2.json,R128_r2,0.65,0.11816662088874408,1366,870,44,0.05057471264367816,0.5707557117267139,0.07773695841857599,False,0.636896046852123,0.032210834553440704,100,new_test
R128_r2,128,2,subsets/R128_r2.json,R128_r2,0.7,0.11848861817207779,1366,940,52,0.05531914893617021,0.7969090080041648,0.08219798312484149,False,0.6881405563689604,0.03806734992679356,100,new_test
R128_r2,128,2,subsets/R128_r2.json,R128_r2,0.75,0.11887219052741405,1366,1003,63,0.06281156530408774,0.9700561801910869,0.09000966172854855,False,0.7342606149341142,0.046120058565153735,100,new_test
R128_r2,128,2,subsets/R128_r2.json,R128_r2,0.8,0.11925688057358341,1366,1068,75,0.0702247191011236,0.9984048876397704,0.09763268824959183,False,0.7818448023426061,0.05490483162518302,100,new_test
R128_r2,128,2,subsets/R128_r2.json,R128_r2,0.85,0.11972526261811145,1366,1138,86,0.07557117750439367,0.9999186940548287,0.10278721139286165,False,0.8330893118594437,0.0629575402635432,100,new_test
R128_r2,128,2,subsets/R128_r2.json,R128_r2,0.9,0.1203907530950381,1366,1219,98,0.08039376538146022,0.9999975228213157,0.10722908955302511,False,0.8923865300146413,0.07174231332357248,100,new_test
R128_r2,128,2,subsets/R128_r2.json,R128_r2,0.95,0.1213121964694257,1366,1292,120,0.09287925696594428,0.9999999999330124,0.12036720916866377,False,0.9458272327964861,0.08784773060029283,100,new_test
R128_r2,128,2,subsets/R128_r2.json,R128_r2,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.05,0.15925989901433346,1366,76,0,0.0,0.020276547153583718,0.08688323667135033,False,0.055636896046852125,0.0,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.1,0.16290632229388957,1366,124,0,0.0,0.001728729550614528,0.05418444627660853,False,0.09077598828696926,0.0,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.15,0.16564294453922013,1366,181,2,0.011049723756906077,0.005169461344003635,0.06047896152492428,False,0.13250366032210834,0.0014641288433382138,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.2,0.16814429784143536,1366,265,4,0.01509433962264151,0.0026243307282092154,0.05470131874061705,False,0.19399707174231332,0.0029282576866764276,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.25,0.17031246294964053,1366,325,4,0.012307692307692308,0.0002585875876890614,0.04477067949153525,True,0.23792093704245973,0.0029282576866764276,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.3,0.17280377901547606,1366,400,6,0.015,0.0001964790310089471,0.044477710260310575,True,0.29282576866764276,0.004392386530014641,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.35,0.1748247492319489,1366,461,10,0.021691973969631236,0.0015694704872344155,0.051552847290918365,False,0.3374816983894583,0.007320644216691069,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.4,0.17692978804031312,1366,525,14,0.02666666666666667,0.005731081843111666,0.05600478886469055,False,0.38433382137628114,0.010248901903367497,100,new_test
