pair,dataset,family,fold,action,fit_gain,fit_harm,fit_flips,fit_zero_gain_flips,delta_shrunk,fit_flip_rate,heldout_flips,heldout_gain,heldout_harm,heldout_zero_gain_flips,heldout_signed_gain_per_flip_DIAGNOSTIC,fit_panel_n,c_ref_ms,cost_proxy_ms
small,obqa,word,0,C,614,250,1304,440,0.2787136294027565,0.4704184704184704,334,148,73,113,0.2245508982035928,202,313.81514707425737,372.32622966831667
small,obqa,word,0,A,26,39,181,116,-0.07103825136612021,0.0652958152958153,59,7,14,38,-0.11864406779661017,202,313.81514707425737,329.45878848514855
small,obqa,word,1,T,506,318,1271,447,0.1476826394344069,0.45834835917778577,304,126,67,111,0.19407894736842105,199,320.5547654824121,908.9882980552762
small,obqa,word,1,C,606,262,1299,431,0.2644119907763259,0.46844572664983775,339,156,61,122,0.28023598820059,199,320.5547654824121,369.89892350251256
small,obqa,word,1,A,23,46,199,130,-0.11442786069651742,0.0717634331049405,41,10,7,24,0.07317073170731707,199,320.5547654824121,337.3106758391958
small,obqa,word,2,T,497,317,1273,459,0.1411764705882353,0.4590695997115038,302,135,68,99,0.22185430463576158,213,321.6194696807512,879.0658827417839
small,obqa,word,2,C,611,265,1329,453,0.2599549211119459,0.47926433465560764,309,151,58,100,0.30097087378640774,213,321.6194696807512,373.99939545539894
small,obqa,word,2,A,29,42,192,121,-0.06701030927835051,0.06923909123692752,48,4,11,33,-0.14583333333333334,213,321.6194696807512,338.2326228450704
small,obqa,word,3,T,505,302,1256,449,0.16136724960254373,0.45293905517490085,319,127,83,109,0.13793103448275862,208,319.63620920192295,894.5135482548075
small,obqa,word,3,C,605,261,1312,446,0.2617960426179604,0.4731337901190047,326,157,62,107,0.29141104294478526,208,319.63620920192295,373.59711827884615
small,obqa,word,3,A,26,43,189,120,-0.08900523560209424,0.06815723043635052,51,7,10,34,-0.058823529411764705,208,319.63620920192295,338.46573824519226
small,obqa,word,4,T,512,311,1248,425,0.1608,0.45005409304002886,327,120,74,133,0.14067278287461774,202,321.5340844950495,871.4604724504956
small,obqa,word,4,C,612,254,1308,442,0.2732824427480916,0.4716913090515687,330,150,69,111,0.24545454545454545,202,321.5340844950495,368.4438793267324
small,obqa,word,4,A,28,42,199,129,-0.06965174129353234,0.0717634331049405,41,5,11,25,-0.14634146341463414,202,321.5340844950495,337.8503476287127
small,obqa,semantic,0,T,508,292,1252,452,0.1722488038277512,0.45165945165945165,323,124,93,106,0.09597523219814241,202,313.81514707425737,865.9950805099006
small,obqa,semantic,0,C,614,250,1304,440,0.2787136294027565,0.4704184704184704,334,148,73,113,0.2245508982035928,202,313.81514707425737,372.32622966831667
small,obqa,semantic,0,A,26,39,181,116,-0.07103825136612021,0.0652958152958153,59,7,14,38,-0.11864406779661017,202,313.81514707425737,329.45878848514855
small,obqa,semantic,1,T,506,318,1271,447,0.1476826394344069,0.45834835917778577,304,126,67,111,0.19407894736842105,199,320.5547654824121,908.9882980552762
small,obqa,semantic,1,C,606,262,1299,431,0.2644119907763259,0.46844572664983775,339,156,61,122,0.28023598820059,199,320.5547654824121,369.89892350251256
small,obqa,semantic,1,A,23,46,199,130,-0.11442786069651742,0.0717634331049405,41,10,7,24,0.07317073170731707,199,320.5547654824121,337.3106758391958
small,obqa,semantic,2,T,497,317,1273,459,0.1411764705882353,0.4590695997115038,302,135,68,99,0.22185430463576158,213,321.6194696807512,879.0658827417839
small,obqa,semantic,2,C,611,265,1329,453,0.2599549211119459,0.47926433465560764,309,151,58,100,0.30097087378640774,213,321.6194696807512,373.99939545539894
small,obqa,semantic,2,A,29,42,192,121,-0.06701030927835051,0.06923909123692752,48,4,11,33,-0.14583333333333334,213,321.6194696807512,338.2326228450704
small,obqa,semantic,3,T,505,302,1256,449,0.16136724960254373,0.45293905517490085,319,127,83,109,0.13793103448275862,208,319.63620920192295,894.5135482548075
small,obqa,semantic,3,C,605,261,1312,446,0.2617960426179604,0.4731337901190047,326,157,62,107,0.29141104294478526,208,319.63620920192295,373.59711827884615
small,obqa,semantic,3,A,26,43,189,120,-0.08900523560209424,0.06815723043635052,51,7,10,34,-0.058823529411764705,208,319.63620920192295,338.46573824519226
small,obqa,semantic,4,T,512,311,1248,425,0.1608,0.45005409304002886,327,120,74,133,0.14067278287461774,202,321.5340844950495,871.4604724504956
small,obqa,semantic,4,C,612,254,1308,442,0.2732824427480916,0.4716913090515687,330,150,69,111,0.24545454545454545,202,321.5340844950495,368.4438793267324
small,obqa,semantic,4,A,28,42,199,129,-0.06965174129353234,0.0717634331049405,41,5,11,25,-0.14634146341463414,202,321.5340844950495,337.8503476287127
small,arc,word,0,T,192,100,453,161,0.2021978021978022,0.506145251396648,125,51,37,37,0.112,204,344.2824943578433,1233.6181180882356
small,arc,word,0,C,260,67,501,174,0.3836978131212724,0.5597765363128492,114,68,14,32,0.47368421052631576,204,344.2824943578433,433.17237068137246
small,arc,word,0,A,16,27,114,71,-0.09482758620689655,0.12737430167597766,26,3,4,19,-0.038461538461538464,204,344.2824943578433,355.0141598921569
small,arc,word,1,T,190,109,463,164,0.17419354838709677,0.5173184357541899,115,53,28,34,0.21739130434782608,212,341.16437464622646,1264.738745971699
small,arc,word,1,C,268,63,492,161,0.4149797570850202,0.5497206703910614,123,60,18,45,0.34146341463414637,212,341.16437464622646,431.91222843867916
small,arc,word,1,A,13,27,119,79,-0.11570247933884298,0.1329608938547486,21,6,4,11,0.09523809523809523,212,341.16437464622646,355.8127215990565
small,arc,word,2,T,196,116,453,141,0.17582417582417584,0.506145251396648,125,47,21,57,0.208,207,339.7596079951691,1241.5581571932369
