setting,split,N,cell1_bothparse_differ,cell2_bothparse_agree,cell3_exactly_one_INVALID,cell4_both_INVALID,disagreements_frozen,cell3_share_of_disagreements,receiver_only_INVALID,receiver_only_INVALID_pct,reference_INVALID,reference_INVALID_pct,only_receiver_INVALID,only_reference_INVALID,disagreement_rate_frozen,both_INVALID_treated_as,label
large/MMLU-Pro/Text,cal,6000,1277,4704,18,1,1295,0.0139,17,0.28,3,0.05,16,2,0.21583,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/MMLU-Pro/Text,dev,2641,555,2079,6,1,561,0.0107,6,0.23,2,0.08,5,1,0.21242,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/MMLU-Pro/C2C,cal,6000,1686,4249,62,3,1748,0.0355,17,0.28,51,0.85,14,48,0.29133,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/MMLU-Pro/C2C,dev,2641,734,1883,22,2,756,0.0291,6,0.23,20,0.76,4,18,0.28626,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/MMLU-Pro/Text,cal,6000,2181,3061,624,134,2805,0.2225,373,6.22,519,8.65,239,385,0.46750,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/MMLU-Pro/Text,dev,2641,961,1353,274,53,1235,0.2219,151,5.72,229,8.67,98,176,0.46763,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/MMLU-Pro/C2C,cal,6000,2259,2470,1223,48,3482,0.3512,373,6.22,946,15.77,325,898,0.58033,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/MMLU-Pro/C2C,dev,2641,1052,1034,539,16,1591,0.3388,151,5.72,420,15.90,135,404,0.60242,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/MMLU-Pro/Text,cal,6000,2280,3388,304,28,2584,0.1176,329,5.48,31,0.52,301,3,0.43067,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/MMLU-Pro/Text,dev,2641,982,1497,146,16,1128,0.1294,160,6.06,18,0.68,144,2,0.42711,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/MMLU-Pro/C2C,cal,6000,958,2427,2309,306,3267,0.7068,329,5.48,2592,43.20,23,2286,0.54450,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/MMLU-Pro/C2C,dev,2641,410,1089,1000,142,1410,0.7092,160,6.06,1124,42.56,18,982,0.53389,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/OBQA/Text,cal,1366,302,980,70,14,372,0.1882,61,4.47,37,2.71,47,23,0.27233,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/OBQA/Text,dev,742,158,545,33,6,191,0.1728,25,3.37,20,2.70,19,14,0.25741,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/OBQA/C2C,cal,1366,650,560,149,7,799,0.1865,61,4.47,102,7.47,54,95,0.58492,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/OBQA/C2C,dev,742,359,311,68,4,427,0.1593,25,3.37,51,6.87,21,47,0.57547,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/ARC/Text,cal,448,108,276,52,12,160,0.3250,50,11.16,26,5.80,38,14,0.35714,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/ARC/Text,dev,299,62,201,26,10,88,0.2955,32,10.70,14,4.68,22,4,0.29431,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/ARC/C2C,cal,448,208,170,65,5,273,0.2381,50,11.16,25,5.58,45,20,0.60938,agreement (frozen convention),POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
