population,pair,dataset,split,n,a,b,old_equal_including_INVALID,old_agreement,old_both_valid,old_equal_both_valid,old_agreement_both_valid,old_both_invalid,D1_equal_including_INVALID,D1_agreement,D1_both_valid,D1_equal_both_valid,D1_agreement_both_valid,D1_both_invalid,V2_equal_including_INVALID,V2_agreement,V2_both_valid,V2_equal_both_valid,V2_agreement_both_valid,V2_both_invalid
full,large,arc,train,1119,receiver_only,text,1075,0.9606791778373548,1119,1075,0.9606791778373548,0,1075,0.9606791778373548,1119,1075,0.9606791778373548,0,1075,0.9606791778373548,1119,1075,0.9606791778373548,0
full,large,arc,train,1119,receiver_only,c2c,1007,0.8999106344950849,1053,1007,0.956315289648623,0,1067,0.9535299374441466,1116,1067,0.9560931899641577,0,1067,0.9535299374441466,1116,1067,0.9560931899641577,0
full,large,arc,train,1119,receiver_only,acw,1111,0.9928507596067918,1117,1111,0.9946284691136974,0,1111,0.9928507596067918,1116,1111,0.9955197132616488,0,1111,0.9928507596067918,1116,1111,0.9955197132616488,0
full,large,arc,train,1119,text,c2c,992,0.8865058087578195,1053,992,0.9420702754036088,0,1050,0.938337801608579,1116,1050,0.9408602150537635,0,1050,0.938337801608579,1116,1050,0.9408602150537635,0
full,large,arc,train,1119,text,acw,1074,0.9597855227882037,1117,1074,0.9615040286481648,0,1074,0.9597855227882037,1116,1074,0.9623655913978495,0,1074,0.9597855227882037,1116,1074,0.9623655913978495,0
full,large,arc,train,1119,c2c,acw,1006,0.8990169794459338,1051,1006,0.9571836346336822,0,1066,0.9526362823949955,1113,1066,0.9577717879604672,0,1066,0.9526362823949955,1113,1066,0.9577717879604672,0
panel,large,arc,train,256,receiver_only,text,249,0.97265625,256,249,0.97265625,0,249,0.97265625,256,249,0.97265625,0,249,0.97265625,256,249,0.97265625,0
panel,large,arc,train,256,receiver_only,c2c,232,0.90625,242,232,0.9586776859504132,0,246,0.9609375,256,246,0.9609375,0,246,0.9609375,256,246,0.9609375,0
panel,large,arc,train,256,receiver_only,acw,254,0.9921875,256,254,0.9921875,0,254,0.9921875,255,254,0.996078431372549,0,254,0.9921875,255,254,0.996078431372549,0
panel,large,arc,train,256,text,c2c,232,0.90625,242,232,0.9586776859504132,0,245,0.95703125,256,245,0.95703125,0,245,0.95703125,256,245,0.95703125,0
