population,pair,dataset,split,n,id,action,comparison,old_f,old_gain,old_harm,old_zero_gain,old_invalid_pair,old_invalid_flip,V2_f,V2_gain,V2_harm,V2_zero_gain,V2_invalid_pair,V2_invalid_flip,R_source_id,R_source_line,action_source_id,action_source_line,D1_f,D1_gain,D1_harm,D1_zero_gain,D1_invalid_pair,D1_invalid_flip
panel,large,arc,train,256,MCAS_2005_9_19,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S011,144,S011,143,,,,,,
panel,large,arc,train,256,Mercury_7246873,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S011,209,S011,212,,,,,,
panel,large,arc,train,256,Mercury_7210263,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S011,266,S011,268,,,,,,
panel,large,arc,train,256,Mercury_7245910,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S011,585,S011,586,,,,,,
panel,large,arc,train,256,NYSEDREGENTS_2011_4_24,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S011,611,S011,610,,,,,,
panel,large,arc,train,256,NYSEDREGENTS_2009_8_41,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S011,794,S011,795,,,,,,
panel,large,arc,train,256,Mercury_401402,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S011,803,S011,802,,,,,,
panel,large,arc,train,256,Mercury_7187005,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S011,816,S011,815,,,,,,
panel,large,arc,train,256,MDSA_2011_8_25,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S011,928,S011,925,,,,,,
panel,large,arc,train,256,MDSA_2007_8_54,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S011,1014,S011,1013,,,,,,
panel,large,arc,train,256,MCAS_1998_4_9,acw,old_to_V2,1,0,1,0,0,0,1,0,1,0,1,1,S011,246,S011,247,,,,,,
full,large,arc,validation,299,Mercury_7115063,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S012,89,S012,90,,,,,,
full,large,arc,validation,299,Mercury_7004410,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S012,260,S012,259,,,,,,
full,large,arc,validation,299,Mercury_7270200,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S012,267,S012,265,,,,,,
full,large,arc,validation,299,Mercury_400885,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S012,276,S012,275,,,,,,
full,large,arc,validation,299,Mercury_7241115,c2c,old_to_V2,1,0,0,1,1,1,1,0,0,1,0,0,S012,303,S012,301,,,,,,
full,large,arc,validation,299,Mercury_189490,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S012,429,S012,427,,,,,,
full,large,arc,validation,299,MCAS_2009_8_5,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S012,512,S012,511,,,,,,
full,large,arc,validation,299,Mercury_412683,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S012,618,S012,617,,,,,,
full,large,arc,validation,299,Mercury_414131,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S012,645,S012,643,,,,,,
full,large,arc,validation,299,Mercury_7221095,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S012,762,S012,761,,,,,,
full,large,arc,validation,299,MCAS_2012_8_23636,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S012,825,S012,823,,,,,,
full,large,arc,validation,299,Mercury_7082145,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S012,897,S012,895,,,,,,
panel,large,arc,validation,128,Mercury_414131,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S013,17,S013,20,,,,,,
panel,large,arc,validation,128,Mercury_7082145,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S013,43,S013,44,,,,,,
panel,large,arc,validation,128,MCAS_2009_8_5,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S013,197,S013,200,,,,,,
panel,large,arc,validation,128,Mercury_412683,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S013,264,S013,261,,,,,,
panel,large,arc,validation,128,Mercury_7241115,c2c,old_to_V2,1,0,0,1,1,1,1,0,0,1,0,0,S013,405,S013,407,,,,,,
panel,large,arc,validation,128,MCAS_2012_8_23636,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S013,414,S013,416,,,,,,
full,small,obqa,train,3466,10-332,c2c,old_to_V2,1,0,1,0,1,1,1,0,1,0,0,0,S014,685,S014,687,,,,,,
