split,family,q,threshold,cal_accepted,final_deployment,N,n_R,coverage,changed,conditional_risk,marginal_change,benefit,harm,neutral_change,correct,accuracy,accuracy_diff_Text,INVALID_selected,routed_both_INVALID,routed_R_only_INVALID,routed_Text_only_INVALID,routed_both_valid,risk_CP95_descriptive_low,risk_CP95_descriptive_high,mean_cost_ms,median_cost_ms,p95_cost_ms,net_saving_vs_Text_ms,net_saving_vs_Text_fraction,U,random_expected_changes,random_hypergeom95_low,random_hypergeom95_high
cal,D,0.05,0.06544978618624626,False,False,1366,79,0.057833089311859445,0,0.0,0.0,0,0,0,1178,0.862371888726208,0.0,0,0,0,0,79,0.0,0.045621252758611106,,,,,,,,,
cal,D,0.1,0.07011126782477158,False,False,1366,132,0.09663250366032211,0,0.0,0.0,0,0,0,1178,0.862371888726208,0.0,0,0,0,0,132,0.0,0.027559177723457548,,,,,,,,,
cal,D,0.15,0.07361258920795709,True,False,1366,188,0.1376281112737921,1,0.005319148936170213,0.0007320644216691069,0,1,0,1177,0.8616398243045388,-0.0007320644216691069,0,0,0,0,188,0.00013466012391728194,0.029278561887899568,,,,,,,,,
cal,D,0.2,0.07703257617313741,True,False,1366,249,0.1822840409956076,2,0.008032128514056224,0.0014641288433382138,0,2,0,1176,0.8609077598828697,-0.0014641288433382138,0,0,0,0,249,0.0009742125043696211,0.02871199509297308,,,,,,,,,
cal,D,0.25,0.08051686084384338,True,False,1366,325,0.23792093704245973,4,0.012307692307692308,0.0029282576866764276,0,4,0,1174,0.8594436310395315,-0.0029282576866764276,0,0,0,0,325,0.00336333683681866,0.031211083839080337,,,,,,,,,
cal,D,0.3,0.08307916184658852,True,True,1366,380,0.2781844802342606,6,0.015789473684210527,0.004392386530014641,0,6,0,1172,0.8579795021961932,-0.004392386530014641,0,0,0,0,380,0.0058159325299253165,0.03404863990669557,,,,,,,,,
cal,D,0.35,0.08614836532551183,False,False,1366,454,0.3323572474377745,11,0.024229074889867842,0.008052708638360176,0,11,0,1167,0.8543191800878477,-0.008052708638360176,0,0,0,0,454,0.012155713065262027,0.04293829509865638,,,,,,,,,
cal,D,0.4,0.08877346652614314,False,False,1366,527,0.3857979502196193,13,0.024667931688804556,0.00951683748169839,0,12,1,1166,0.8535871156661786,-0.008784773060029283,0,0,0,0,527,0.01319853462811938,0.041813529117844875,,,,,,,,,
cal,D,0.45,0.09124921560598001,False,False,1366,581,0.4253294289897511,15,0.025817555938037865,0.010980966325036604,0,14,1,1164,0.8521229868228404,-0.010248901903367497,0,0,0,0,581,0.014520288905789954,0.04222503195256872,,,,,,,,,
cal,D,0.5,0.09428394401285886,False,False,1366,643,0.4707174231332357,18,0.027993779160186624,0.013177159590043924,2,14,2,1166,0.8535871156661786,-0.008784773060029283,0,0,0,0,643,0.016673456400323788,0.04388238103991121,,,,,,,,,
