family,q,threshold,N,n_R,changed,conditional_risk,p_value,CP_upper_0_999,accepted,coverage,marginal_change,source_identity,source_path,comparison_repeat,name,B,repeat,subset_file,M
R128_r4,0.6,0.16554987420878153,1366,794,36,0.04534005037783375,0.30746587714718887,0.07283881868638135,False,0.5812591508052709,0.02635431918008785,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.65,0.165926889535831,1366,856,45,0.052570093457943924,0.6709860195027849,0.08039343432989515,False,0.6266471449487555,0.03294289897510981,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.7,0.1663853736495795,1366,922,55,0.0596529284164859,0.9192663358406896,0.087625913066604,False,0.6749633967789166,0.04026354319180088,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.75,0.16688613425996945,1366,986,60,0.060851926977687626,0.9456417174565415,0.08798202201495309,False,0.7218155197657394,0.043923865300146414,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.8,0.16743800200258974,1366,1065,72,0.0676056338028169,0.9952242095276387,0.09465629009557311,False,0.7796486090775988,0.0527086383601757,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.85,0.16789787413549073,1366,1131,83,0.07338638373121131,0.9997334613123928,0.10038705601191351,False,0.8279648609077599,0.06076134699853587,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.9,0.16862490392897167,1366,1215,98,0.08065843621399177,0.9999978440049307,0.10757689237291579,False,0.8894582723279648,0.07174231332357248,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.95,0.1694916948885561,1366,1278,115,0.08998435054773082,0.9999999989981174,0.11729998875283217,False,0.9355783308931186,0.0841874084919473,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R512_r4,0.05,0.15239291316979608,1366,70,0,0.0,0.027583690436775065,0.0939694177546623,False,0.05124450951683748,0.0,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.1,0.15671255326465627,1366,127,0,0.0,0.00148216949845813,0.05293899992277619,False,0.09297218155197658,0.0,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.15,0.15970140827953727,1366,177,1,0.005649717514124294,0.001176469321120666,0.05096994752628223,False,0.1295754026354319,0.0007320644216691069,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.2,0.16212735777933773,1366,240,2,0.008333333333333333,0.0004192859116961884,0.04589712020849467,True,0.17569546120058566,0.0014641288433382138,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.25,0.16460752013051605,1366,306,4,0.013071895424836602,0.0005468127522509081,0.04750154079915011,True,0.2240117130307467,0.0029282576866764276,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.3,0.16705417513300636,1366,377,5,0.013262599469496022,0.00013120967481040517,0.04298808315383139,True,0.2759882869692533,0.0036603221083455345,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.35,0.16919162579970703,1366,445,9,0.020224719101123594,0.0010409944458405966,0.05013834064669313,False,0.3257686676427526,0.006588579795021962,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.4,0.17133298368041328,1366,522,12,0.022988505747126436,0.001381537466381473,0.05103177941458432,False,0.3821376281112738,0.008784773060029283,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.45,0.17327250749369172,1366,574,13,0.02264808362369338,0.0006852543038469408,0.04889329973656202,True,0.42020497803806733,0.00951683748169839,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.5,0.17568353065583098,1366,658,22,0.03343465045592705,0.026225318557060305,0.06097660468751283,False,0.4816983894582723,0.016105417276720352,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.55,0.1777753994502005,1366,715,26,0.03636363636363636,0.05122124698103066,0.06335077524419909,False,0.5234260614934114,0.01903367496339678,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.6,0.17998021589833568,1366,784,31,0.039540816326530615,0.10046442127309221,0.06587317035349133,False,0.5739385065885798,0.022693997071742314,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.65,0.1822307679124857,1366,854,37,0.04332552693208431,0.20930986708566893,0.06922657987436702,False,0.6251830161054173,0.027086383601756955,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.7,0.18415458431238108,1366,904,40,0.04424778761061947,0.2400494122337654,0.06949915672213897,False,0.6617862371888726,0.029282576866764276,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.75,0.18656565436794337,1366,982,56,0.05702647657841141,0.8600767687529134,0.08354885733278658,False,0.718887262079063,0.040995607613469986,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.8,0.18927829914306904,1366,1059,65,0.061378659112370164,0.958138907977584,0.08751908225111042,False,0.7752562225475842,0.04758418740849195,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.85,0.19214376273127798,1366,1136,81,0.07130281690140845,0.9992763435019566,0.09793756708002127,False,0.8316251830161054,0.05929721815519766,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.9,0.19576521209233755,1366,1224,100,0.08169934640522876,0.9999990081588236,0.10864226701771279,False,0.8960468521229868,0.07320644216691069,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,0.95,0.20122938103427634,1366,1288,116,0.09006211180124224,0.9999999991850976,0.11727050346050638,False,0.9428989751098097,0.0849194729136164,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
R512_r4,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229,new_test,,4,R512_r4,512,4,subsets/R512_r4.json,100
